polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Direction,Direction,right,2.5,right,1.749
neutral,Direction,Direction,left,2.5,left,0.671
neutral,Direction,Direction,left,2.5,left,1.3
neutral,Direction,Direction,right,2.5,right,0.573
neutral,Direction,Direction,right,2.5,right,0.57
neutral,Direction,Direction,left,2.5,left,0.621
neutral,Direction,Direction,left,2.5,left,0.535
neutral,Direction,Direction,left,2.5,left,0.603
neutral,Direction,Direction,right,2.5,right,0.807
neutral,Direction,Direction,right,2.5,right,0.535
neutral,Sound,Sound,left,2.5,left,1.178
neutral,Sound,Sound,right,2.5,right,0.823
neutral,Sound,Sound,right,2.5,right,0.651
neutral,Sound,Sound,left,2.5,left,0.655
neutral,Sound,Sound,right,2.5,right,0.619
neutral,Sound,Sound,right,2.5,left,0.616
neutral,Sound,Sound,right,2.5,right,0.735
neutral,Sound,Sound,right,2.5,right,0.77
neutral,Sound,Sound,left,2.5,left,0.705
neutral,Sound,Sound,right,2.5,right,0.786
congruent,Direction,Sound,left,2.5,left,0.842
congruent,Direction,Sound,right,2.5,right,0.652
congruent,Direction,Sound,right,2.5,right,0.535
conflict,Direction,Sound,left,2.5,left,0.464
congruent,Direction,Sound,right,2.5,right,0.381
conflict,Direction,Sound,right,2.5,right,0.499
congruent,Direction,Sound,left,2.5,left,0.673
conflict,Direction,Sound,left,2.5,left,0.774
conflict,Direction,Sound,left,2.5,left,0.552
conflict,Direction,Sound,right,2.5,right,0.463
congruent,Sound,Direction,left,2.5,left,0.941
congruent,Sound,Direction,right,2.5,right,0.672
congruent,Sound,Direction,left,2.5,left,0.485
conflict,Sound,Direction,left,2.5,right,0.468
congruent,Sound,Direction,left,2.5,right,0.517
conflict,Sound,Direction,right,2.5,left,0.193
congruent,Sound,Direction,left,2.5,none,2.5
conflict,Sound,Direction,right,2.5,left,0.0
conflict,Sound,Direction,right,2.5,left,0.0
conflict,Sound,Direction,left,2.5,left,0.738
congruent,Direction,Sound,left,2.5,left,1.096
conflict,Direction,Sound,left,2.5,left,0.464
conflict,Direction,Sound,left,2.5,left,0.5
congruent,Direction,Sound,right,2.5,right,0.464
congruent,Direction,Sound,right,2.5,right,0.605
conflict,Direction,Sound,right,2.5,right,0.331
conflict,Sound,Direction,right,2.5,right,1.133
congruent,Sound,Direction,right,2.5,right,0.803
conflict,Sound,Direction,left,2.5,right,0.415
conflict,Direction,Sound,right,2.5,left,1.063
congruent,Direction,Sound,left,2.5,left,0.806
conflict,Sound,Direction,right,2.5,right,0.788
congruent,Sound,Direction,right,2.5,right,0.502
conflict,Direction,Sound,right,2.5,left,0.555
congruent,Sound,Direction,right,2.5,right,0.822
conflict,Sound,Direction,right,2.5,right,0.535
congruent,Sound,Direction,right,2.5,right,0.586
congruent,Direction,Sound,right,2.5,right,0.774
congruent,Sound,Direction,left,2.5,left,0.582
conflict,Sound,Direction,right,2.5,right,0.837
neutral,Sound,Sound,right,2.5,right,0.943
neutral,Sound,Sound,right,2.5,right,0.514
neutral,Sound,Sound,left,2.5,right,0.413
neutral,Sound,Sound,right,2.5,left,0.158
neutral,Sound,Sound,right,2.5,right,0.127
neutral,Sound,Sound,left,2.5,left,0.872
neutral,Sound,Sound,right,2.5,right,0.566
neutral,Sound,Sound,right,2.5,right,0.603
neutral,Sound,Sound,right,2.5,right,0.549
neutral,Sound,Sound,left,2.5,right,0.396
neutral,Movement,Movement,left,2.5,left,0.0
neutral,Movement,Movement,left,2.5,left,1.303
neutral,Movement,Movement,right,2.5,right,0.672
neutral,Movement,Movement,left,2.5,left,0.453
neutral,Movement,Movement,left,2.5,left,0.756
neutral,Movement,Movement,left,2.5,left,0.518
neutral,Movement,Movement,right,2.5,right,0.588
neutral,Movement,Movement,left,2.5,right,0.435
neutral,Movement,Movement,right,2.5,right,0.485
neutral,Movement,Movement,right,2.5,right,0.434
congruent,Sound,Movement,right,2.5,right,0.618
congruent,Sound,Movement,right,2.5,right,0.62
conflict,Sound,Movement,left,2.5,right,0.534
congruent,Sound,Movement,left,2.5,left,0.602
conflict,Sound,Movement,right,2.5,left,0.43
congruent,Sound,Movement,left,2.5,right,0.039
conflict,Sound,Movement,right,2.5,right,1.061
conflict,Sound,Movement,left,2.5,left,1.134
congruent,Sound,Movement,right,2.5,right,1.046
conflict,Sound,Movement,right,2.5,right,0.803
congruent,Movement,Sound,right,2.5,right,0.706
congruent,Movement,Sound,left,2.5,left,0.586
conflict,Movement,Sound,right,2.5,right,0.48
congruent,Movement,Sound,left,2.5,left,0.481
conflict,Movement,Sound,right,2.5,right,0.314
congruent,Movement,Sound,right,2.5,right,0.655
conflict,Movement,Sound,right,2.5,right,0.534
conflict,Movement,Sound,right,2.5,right,0.553
congruent,Movement,Sound,left,2.5,left,0.653
conflict,Movement,Sound,right,2.5,right,0.43
congruent,Movement,Sound,left,2.5,left,0.89
conflict,Movement,Sound,right,2.5,right,0.585
