polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Direction,Direction,left,2.5,none,2.5
neutral,Direction,Direction,right,2.5,none,2.5
neutral,Direction,Direction,left,2.5,left,1.318
neutral,Direction,Direction,left,2.5,left,0.586
neutral,Direction,Direction,left,2.5,left,0.622
neutral,Direction,Direction,right,2.5,right,0.706
neutral,Direction,Direction,left,2.5,left,0.671
neutral,Direction,Direction,left,2.5,left,0.62
neutral,Direction,Direction,left,2.5,left,0.569
neutral,Direction,Direction,left,2.5,left,0.519
neutral,Sound,Sound,left,2.5,left,1.093
neutral,Sound,Sound,right,2.5,right,0.938
neutral,Sound,Sound,right,2.5,right,0.941
neutral,Sound,Sound,left,2.5,left,1.828
neutral,Sound,Sound,right,2.5,right,0.87
neutral,Sound,Sound,left,2.5,left,0.741
neutral,Sound,Sound,left,2.5,left,1.572
neutral,Sound,Sound,left,2.5,left,1.062
neutral,Sound,Sound,left,2.5,none,2.5
neutral,Sound,Sound,right,2.5,right,0.786
congruent,Direction,Sound,right,2.5,right,0.72
congruent,Direction,Sound,left,2.5,left,1.029
conflict,Direction,Sound,right,2.5,right,1.864
conflict,Direction,Sound,right,2.5,right,0.757
congruent,Direction,Sound,right,2.5,right,1.043
congruent,Direction,Sound,left,2.5,left,0.687
conflict,Direction,Sound,left,2.5,left,0.447
congruent,Direction,Sound,right,2.5,right,0.79
conflict,Direction,Sound,right,2.5,right,0.789
conflict,Direction,Sound,left,2.5,left,0.45
congruent,Sound,Direction,left,2.5,left,0.844
congruent,Sound,Direction,right,2.5,right,0.706
conflict,Sound,Direction,left,2.5,left,0.688
conflict,Sound,Direction,left,2.5,left,0.842
congruent,Sound,Direction,right,2.5,right,0.719
congruent,Sound,Direction,right,2.5,right,0.843
conflict,Sound,Direction,right,2.5,right,0.807
congruent,Sound,Direction,right,2.5,right,0.788
conflict,Sound,Direction,right,2.5,right,0.684
conflict,Sound,Direction,right,2.5,right,0.908
congruent,Direction,Sound,left,2.5,left,1.384
conflict,Direction,Sound,right,2.5,right,0.467
conflict,Sound,Direction,right,2.5,left,0.619
congruent,Direction,Sound,right,2.5,right,0.434
conflict,Sound,Direction,left,2.5,right,0.45
conflict,Direction,Sound,left,2.5,left,0.364
congruent,Sound,Direction,right,2.5,right,0.293
congruent,Sound,Direction,right,2.5,right,0.598
conflict,Sound,Direction,left,2.5,right,0.686
congruent,Sound,Direction,left,2.5,left,0.382
conflict,Sound,Direction,left,2.5,right,0.348
congruent,Sound,Direction,left,2.5,left,0.381
conflict,Direction,Sound,right,2.5,right,0.365
congruent,Sound,Direction,right,2.5,right,0.48
congruent,Direction,Sound,right,2.5,right,0.415
congruent,Direction,Sound,right,2.5,right,0.347
conflict,Direction,Sound,left,2.5,left,0.466
conflict,Direction,Sound,right,2.5,right,0.313
conflict,Sound,Direction,right,2.5,left,0.364
congruent,Direction,Sound,right,2.5,right,0.363
neutral,Sound,Sound,left,2.5,left,1.816
neutral,Sound,Sound,right,2.5,right,0.787
neutral,Sound,Sound,right,2.5,right,0.789
neutral,Sound,Sound,right,2.5,right,0.753
neutral,Sound,Sound,right,2.5,right,0.704
neutral,Sound,Sound,right,2.5,right,0.77
neutral,Sound,Sound,left,2.5,left,0.774
neutral,Sound,Sound,left,2.5,left,0.772
neutral,Sound,Sound,right,2.5,right,0.633
neutral,Sound,Sound,right,2.5,right,0.7
neutral,Movement,Movement,right,2.5,right,0.796
neutral,Movement,Movement,left,2.5,left,0.47
neutral,Movement,Movement,right,2.5,right,0.536
neutral,Movement,Movement,left,2.5,left,0.434
neutral,Movement,Movement,left,2.5,left,0.486
neutral,Movement,Movement,left,2.5,right,0.4
neutral,Movement,Movement,right,2.5,right,0.62
neutral,Movement,Movement,left,2.5,left,0.521
neutral,Movement,Movement,left,2.5,left,0.624
neutral,Movement,Movement,right,2.5,right,0.519
congruent,Sound,Movement,left,2.5,left,0.89
congruent,Sound,Movement,right,2.5,right,0.667
congruent,Sound,Movement,left,2.5,left,0.688
conflict,Sound,Movement,right,2.5,right,0.721
congruent,Sound,Movement,right,2.5,right,0.806
conflict,Sound,Movement,left,2.5,left,0.685
conflict,Sound,Movement,right,2.5,right,0.654
conflict,Sound,Movement,left,2.5,left,0.789
conflict,Sound,Movement,left,2.5,left,0.84
congruent,Sound,Movement,right,2.5,right,0.706
congruent,Movement,Sound,right,2.5,right,1.759
congruent,Movement,Sound,right,2.5,right,0.669
congruent,Movement,Sound,right,2.5,right,0.518
conflict,Movement,Sound,left,2.5,left,0.568
congruent,Movement,Sound,left,2.5,left,0.468
conflict,Movement,Sound,right,2.5,right,0.397
conflict,Movement,Sound,right,2.5,right,0.636
conflict,Movement,Sound,right,2.5,right,0.381
conflict,Movement,Sound,right,2.5,right,0.616
congruent,Movement,Sound,left,2.5,left,0.602
conflict,Sound,Movement,right,2.5,none,2.5
conflict,Sound,Movement,left,2.5,right,0.0
congruent,Movement,Sound,left,2.5,left,0.753
congruent,Movement,Sound,left,2.5,left,1.455
conflict,Movement,Sound,left,2.5,left,1.114
congruent,Sound,Movement,right,2.5,right,0.894
congruent,Movement,Sound,right,2.5,right,1.439
conflict,Movement,Sound,right,2.5,right,0.825
conflict,Sound,Movement,left,2.5,left,0.94
congruent,Sound,Movement,right,2.5,right,0.856
congruent,Sound,Movement,left,2.5,left,1.079
conflict,Movement,Sound,right,2.5,right,0.908
congruent,Movement,Sound,left,2.5,left,0.773
conflict,Movement,Sound,right,2.5,right,0.603
congruent,Movement,Sound,right,2.5,right,0.466
conflict,Sound,Movement,left,2.5,left,0.976
conflict,Sound,Movement,left,2.5,left,0.792
congruent,Sound,Movement,right,2.5,right,1.114
