polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Sound,Sound,right,2.5,right,0.725
neutral,Sound,Sound,left,2.5,left,0.635
neutral,Sound,Sound,left,2.5,left,0.654
neutral,Sound,Sound,left,2.5,left,0.654
neutral,Sound,Sound,right,2.5,left,0.565
neutral,Sound,Sound,left,2.5,right,0.04
neutral,Sound,Sound,right,2.5,right,0.84
neutral,Sound,Sound,left,2.5,left,0.737
neutral,Sound,Sound,right,2.5,right,0.651
neutral,Sound,Sound,left,2.5,left,0.6
neutral,Movement,Movement,left,2.5,left,0.482
neutral,Movement,Movement,left,2.5,left,0.398
neutral,Movement,Movement,right,2.5,right,0.433
neutral,Movement,Movement,left,2.5,right,0.503
neutral,Movement,Movement,left,2.5,left,0.0
neutral,Movement,Movement,right,2.5,right,0.584
neutral,Movement,Movement,right,2.5,right,0.521
neutral,Movement,Movement,left,2.5,left,0.38
neutral,Movement,Movement,left,2.5,left,0.452
neutral,Movement,Movement,left,2.5,left,0.467
congruent,Sound,Movement,right,2.5,right,0.566
congruent,Sound,Movement,right,2.5,right,0.534
congruent,Sound,Movement,right,2.5,right,0.533
congruent,Sound,Movement,right,2.5,right,0.5
conflict,Sound,Movement,right,2.5,left,0.551
conflict,Sound,Movement,right,2.5,right,0.67
congruent,Sound,Movement,right,2.5,right,0.447
conflict,Sound,Movement,left,2.5,right,0.513
conflict,Sound,Movement,left,2.5,right,0.72
conflict,Sound,Movement,left,2.5,left,0.928
congruent,Movement,Sound,left,2.5,left,0.519
congruent,Movement,Sound,left,2.5,left,0.553
congruent,Movement,Sound,right,2.5,right,0.431
congruent,Movement,Sound,right,2.5,right,0.397
conflict,Movement,Sound,right,2.5,right,0.397
conflict,Movement,Sound,right,2.5,left,0.294
congruent,Movement,Sound,left,2.5,left,0.483
conflict,Movement,Sound,left,2.5,left,0.367
conflict,Movement,Sound,left,2.5,left,0.378
conflict,Movement,Sound,left,2.5,left,0.348
congruent,Sound,Movement,right,2.5,right,0.619
conflict,Movement,Sound,right,2.5,left,0.565
conflict,Movement,Sound,right,2.5,right,0.534
conflict,Sound,Movement,right,2.5,right,0.772
conflict,Movement,Sound,right,2.5,right,0.431
congruent,Movement,Sound,left,2.5,left,0.669
conflict,Movement,Sound,right,2.5,right,0.52
congruent,Sound,Movement,left,2.5,left,0.432
conflict,Sound,Movement,right,2.5,left,0.551
congruent,Sound,Movement,right,2.5,right,0.637
conflict,Sound,Movement,right,2.5,left,0.583
conflict,Movement,Sound,right,2.5,left,0.822
congruent,Movement,Sound,left,2.5,left,0.585
congruent,Movement,Sound,right,2.5,right,0.397
