polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,0.684
neutral,Movement,Movement,right,2.5,right,0.538
neutral,Movement,Movement,left,2.5,left,0.452
neutral,Movement,Movement,left,2.5,left,0.552
neutral,Movement,Movement,left,2.5,left,0.435
neutral,Movement,Movement,right,2.5,right,0.468
neutral,Movement,Movement,right,2.5,right,0.451
neutral,Movement,Movement,left,2.5,left,0.329
neutral,Movement,Movement,left,2.5,left,0.398
neutral,Movement,Movement,left,2.5,left,0.382
neutral,Direction,Direction,left,2.5,left,0.907
neutral,Direction,Direction,left,2.5,left,0.47
neutral,Direction,Direction,left,2.5,left,1.014
neutral,Direction,Direction,right,2.5,right,0.569
neutral,Direction,Direction,left,2.5,left,0.45
neutral,Direction,Direction,right,2.5,right,0.333
neutral,Direction,Direction,left,2.5,left,0.383
neutral,Direction,Direction,left,2.5,left,0.364
neutral,Direction,Direction,left,2.5,left,0.637
neutral,Direction,Direction,right,2.5,right,0.382
conflict,Movement,Direction,left,2.5,left,2.223
congruent,Movement,Direction,right,2.5,right,0.862
congruent,Movement,Direction,right,2.5,right,0.636
conflict,Movement,Direction,left,2.5,left,0.775
congruent,Movement,Direction,right,2.5,right,0.571
conflict,Movement,Direction,right,2.5,right,0.793
congruent,Movement,Direction,left,2.5,left,0.64
conflict,Movement,Direction,right,2.5,right,0.467
congruent,Movement,Direction,right,2.5,right,0.451
conflict,Movement,Direction,left,2.5,left,0.724
conflict,Direction,Movement,left,2.5,right,0.541
congruent,Direction,Movement,right,2.5,right,0.637
congruent,Direction,Movement,left,2.5,left,0.332
conflict,Direction,Movement,right,2.5,right,0.654
congruent,Direction,Movement,left,2.5,left,0.486
conflict,Direction,Movement,right,2.5,right,0.333
congruent,Direction,Movement,right,2.5,left,0.366
conflict,Direction,Movement,left,2.5,left,0.571
congruent,Direction,Movement,left,2.5,left,0.364
conflict,Direction,Movement,right,2.5,right,0.368
conflict,Movement,Direction,right,2.5,right,2.155
conflict,Direction,Movement,left,2.5,none,2.5
congruent,Direction,Movement,right,2.5,left,0.212
conflict,Movement,Direction,right,2.5,right,1.048
conflict,Direction,Movement,left,2.5,right,1.183
congruent,Direction,Movement,left,2.5,left,0.823
conflict,Movement,Direction,left,2.5,left,1.1
congruent,Movement,Direction,left,2.5,left,0.689
conflict,Movement,Direction,left,2.5,left,0.623
congruent,Movement,Direction,right,2.5,left,0.537
congruent,Direction,Movement,right,2.5,right,0.722
conflict,Direction,Movement,right,2.5,right,0.74
congruent,Movement,Direction,left,2.5,left,0.397
congruent,Direction,Movement,left,2.5,left,0.553
congruent,Movement,Direction,right,2.5,right,0.824
congruent,Direction,Movement,left,2.5,left,0.775
conflict,Direction,Movement,right,2.5,right,0.638
conflict,Movement,Direction,right,2.5,left,1.577
congruent,Movement,Direction,right,2.5,right,0.981
conflict,Direction,Movement,right,2.5,left,2.136
neutral,Direction,Direction,left,2.5,left,1.07
neutral,Direction,Direction,left,2.5,left,1.252
neutral,Direction,Direction,right,2.5,right,0.416
neutral,Direction,Direction,left,2.5,left,0.348
neutral,Direction,Direction,right,2.5,right,0.399
neutral,Direction,Direction,right,2.5,right,0.45
neutral,Direction,Direction,left,2.5,left,0.333
neutral,Direction,Direction,right,2.5,right,0.416
neutral,Direction,Direction,left,2.5,left,0.335
neutral,Direction,Direction,right,2.5,left,0.347
