polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,1.69
neutral,Movement,Movement,left,2.5,left,1.68
neutral,Movement,Movement,right,2.5,right,0.654
neutral,Movement,Movement,left,2.5,left,0.775
neutral,Movement,Movement,left,2.5,left,0.586
neutral,Movement,Movement,right,2.5,right,0.689
neutral,Movement,Movement,left,2.5,left,0.687
neutral,Movement,Movement,left,2.5,left,0.689
neutral,Movement,Movement,left,2.5,left,0.605
neutral,Movement,Movement,left,2.5,left,0.536
neutral,Direction,Direction,right,2.5,right,0.599
neutral,Direction,Direction,right,2.5,right,0.538
neutral,Direction,Direction,right,2.5,right,1.181
neutral,Direction,Direction,right,2.5,right,0.587
neutral,Direction,Direction,right,2.5,right,0.571
neutral,Direction,Direction,left,2.5,left,0.519
neutral,Direction,Direction,left,2.5,left,0.452
neutral,Direction,Direction,right,2.5,right,0.451
neutral,Direction,Direction,left,2.5,left,0.399
neutral,Direction,Direction,right,2.5,right,0.517
conflict,Movement,Direction,right,2.5,right,1.882
conflict,Movement,Direction,right,2.5,right,0.927
congruent,Movement,Direction,left,2.5,left,1.352
congruent,Movement,Direction,left,2.5,left,0.641
conflict,Movement,Direction,right,2.5,right,0.979
conflict,Movement,Direction,right,2.5,right,0.772
conflict,Movement,Direction,right,2.5,right,0.674
congruent,Movement,Direction,right,2.5,right,0.875
congruent,Movement,Direction,left,2.5,left,0.62
congruent,Movement,Direction,left,2.5,left,0.691
conflict,Direction,Movement,right,2.5,right,0.959
conflict,Direction,Movement,right,2.5,right,0.605
congruent,Direction,Movement,left,2.5,left,0.57
congruent,Direction,Movement,right,2.5,right,0.639
conflict,Direction,Movement,left,2.5,left,0.691
conflict,Direction,Movement,right,2.5,right,0.554
conflict,Direction,Movement,left,2.5,left,0.606
congruent,Direction,Movement,right,2.5,right,0.467
congruent,Direction,Movement,right,2.5,right,0.571
congruent,Direction,Movement,right,2.5,right,0.485
congruent,Direction,Movement,right,2.5,right,0.728
congruent,Movement,Direction,right,2.5,right,0.997
congruent,Direction,Movement,left,2.5,left,1.763
conflict,Direction,Movement,left,2.5,left,1.748
congruent,Movement,Direction,right,2.5,right,1.235
conflict,Movement,Direction,left,2.5,left,0.995
conflict,Direction,Movement,right,2.5,right,1.15
conflict,Direction,Movement,right,2.5,right,0.723
congruent,Movement,Direction,right,2.5,right,1.457
conflict,Movement,Direction,left,2.5,left,0.963
conflict,Direction,Movement,right,2.5,right,0.91
congruent,Direction,Movement,left,2.5,left,1.15
congruent,Movement,Direction,right,2.5,right,0.999
conflict,Movement,Direction,right,2.5,right,0.963
conflict,Movement,Direction,left,2.5,left,0.995
congruent,Direction,Movement,left,2.5,left,0.996
congruent,Direction,Movement,left,2.5,left,0.536
congruent,Movement,Direction,left,2.5,left,1.163
conflict,Direction,Movement,left,2.5,left,1.384
conflict,Movement,Direction,right,2.5,right,0.959
neutral,Direction,Direction,right,2.5,right,1.408
neutral,Direction,Direction,left,2.5,left,0.62
neutral,Direction,Direction,right,2.5,right,0.721
neutral,Direction,Direction,left,2.5,left,0.57
neutral,Direction,Direction,left,2.5,left,0.688
neutral,Direction,Direction,left,2.5,left,0.761
neutral,Direction,Direction,right,2.5,right,0.869
neutral,Direction,Direction,left,2.5,left,0.452
neutral,Direction,Direction,right,2.5,right,0.571
neutral,Direction,Direction,right,2.5,right,0.521
neutral,Sound,Sound,left,2.5,left,0.992
neutral,Sound,Sound,left,2.5,left,0.738
neutral,Sound,Sound,right,2.5,right,0.721
neutral,Sound,Sound,right,2.5,right,0.652
neutral,Sound,Sound,left,2.5,left,0.603
neutral,Sound,Sound,right,2.5,right,0.585
neutral,Sound,Sound,left,2.5,left,0.535
neutral,Sound,Sound,left,2.5,left,0.754
neutral,Sound,Sound,left,2.5,left,0.686
neutral,Sound,Sound,left,2.5,left,0.686
congruent,Direction,Sound,left,2.5,left,0.755
conflict,Direction,Sound,left,2.5,left,0.687
conflict,Direction,Sound,right,2.5,right,0.603
congruent,Direction,Sound,right,2.5,right,0.568
congruent,Direction,Sound,right,2.5,right,0.519
conflict,Direction,Sound,left,2.5,left,0.463
conflict,Direction,Sound,right,2.5,right,0.499
conflict,Direction,Sound,left,2.5,left,0.448
congruent,Direction,Sound,left,2.5,left,0.415
congruent,Direction,Sound,left,2.5,left,0.501
congruent,Sound,Direction,left,2.5,left,0.808
conflict,Sound,Direction,right,2.5,right,0.737
