polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Direction,Direction,left,2.5,right,1.507
neutral,Direction,Direction,left,2.5,left,0.965
neutral,Direction,Direction,right,2.5,right,0.842
neutral,Direction,Direction,left,2.5,left,0.738
neutral,Direction,Direction,right,2.5,right,0.879
neutral,Direction,Direction,right,2.5,right,0.705
neutral,Direction,Direction,right,2.5,right,0.641
neutral,Direction,Direction,right,2.5,right,0.603
neutral,Direction,Direction,left,2.5,left,0.671
neutral,Direction,Direction,left,2.5,left,0.52
neutral,Sound,Sound,right,2.5,right,1.402
neutral,Sound,Sound,right,2.5,right,0.786
neutral,Sound,Sound,right,2.5,right,0.837
neutral,Sound,Sound,right,2.5,right,0.72
neutral,Sound,Sound,left,2.5,left,0.821
neutral,Sound,Sound,right,2.5,right,0.753
neutral,Sound,Sound,left,2.5,left,0.721
neutral,Sound,Sound,left,2.5,left,0.859
neutral,Sound,Sound,right,2.5,right,0.717
neutral,Sound,Sound,right,2.5,right,0.685
congruent,Direction,Sound,left,2.5,left,0.769
congruent,Direction,Sound,left,2.5,left,0.806
conflict,Direction,Sound,left,2.5,left,0.703
conflict,Direction,Sound,left,2.5,left,0.955
conflict,Direction,Sound,right,2.5,right,0.652
congruent,Direction,Sound,left,2.5,left,0.621
congruent,Direction,Sound,right,2.5,right,0.807
conflict,Direction,Sound,left,2.5,left,0.619
conflict,Direction,Sound,right,2.5,right,0.688
congruent,Direction,Sound,left,2.5,left,0.741
congruent,Sound,Direction,left,2.5,left,0.93
congruent,Sound,Direction,left,2.5,left,0.723
conflict,Sound,Direction,left,2.5,right,0.962
conflict,Sound,Direction,right,2.5,right,0.958
conflict,Sound,Direction,right,2.5,right,0.857
congruent,Sound,Direction,right,2.5,right,0.909
congruent,Sound,Direction,right,2.5,right,0.65
conflict,Sound,Direction,left,2.5,left,0.757
conflict,Sound,Direction,left,2.5,left,0.718
congruent,Sound,Direction,right,2.5,right,0.775
conflict,Sound,Direction,left,2.5,none,2.5
congruent,Direction,Sound,left,2.5,left,0.0
congruent,Direction,Sound,left,2.5,left,1.318
conflict,Sound,Direction,left,2.5,left,1.725
congruent,Sound,Direction,left,2.5,left,0.96
conflict,Direction,Sound,left,2.5,right,0.976
conflict,Sound,Direction,left,2.5,left,0.84
conflict,Sound,Direction,left,2.5,left,0.991
conflict,Direction,Sound,left,2.5,right,0.753
