polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Sound,Sound,left,2.5,left,1.013
neutral,Sound,Sound,left,2.5,left,0.721
neutral,Sound,Sound,right,2.5,right,0.672
neutral,Sound,Sound,right,2.5,right,0.616
neutral,Sound,Sound,left,2.5,left,0.653
neutral,Sound,Sound,left,2.5,left,0.617
neutral,Sound,Sound,right,2.5,right,0.618
neutral,Sound,Sound,right,2.5,right,0.619
neutral,Sound,Sound,right,2.5,right,0.616
neutral,Sound,Sound,right,2.5,right,0.603
neutral,Movement,Movement,left,2.5,left,1.07
neutral,Movement,Movement,left,2.5,left,0.486
neutral,Movement,Movement,left,2.5,left,0.416
neutral,Movement,Movement,left,2.5,left,0.551
neutral,Movement,Movement,right,2.5,right,0.47
neutral,Movement,Movement,left,2.5,left,0.419
neutral,Movement,Movement,right,2.5,right,0.401
neutral,Movement,Movement,right,2.5,right,0.6
neutral,Movement,Movement,right,2.5,right,0.383
neutral,Movement,Movement,left,2.5,left,0.52
congruent,Sound,Movement,left,2.5,left,0.702
congruent,Sound,Movement,left,2.5,left,0.467
conflict,Sound,Movement,right,2.5,right,0.555
congruent,Sound,Movement,right,2.5,right,0.467
conflict,Sound,Movement,left,2.5,right,0.432
conflict,Sound,Movement,left,2.5,left,0.825
conflict,Sound,Movement,left,2.5,left,0.788
congruent,Sound,Movement,right,2.5,right,0.741
conflict,Sound,Movement,left,2.5,left,0.739
congruent,Sound,Movement,left,2.5,left,0.718
congruent,Movement,Sound,right,2.5,right,0.858
congruent,Movement,Sound,right,2.5,right,0.604
conflict,Movement,Sound,left,2.5,left,0.481
congruent,Movement,Sound,right,2.5,right,0.482
conflict,Movement,Sound,left,2.5,left,0.451
conflict,Movement,Sound,left,2.5,left,0.599
conflict,Movement,Sound,right,2.5,right,0.447
congruent,Movement,Sound,right,2.5,right,0.483
conflict,Movement,Sound,left,2.5,left,0.482
congruent,Movement,Sound,left,2.5,left,0.45
conflict,Movement,Sound,right,2.5,right,0.889
congruent,Sound,Movement,left,2.5,left,0.773
congruent,Movement,Sound,left,2.5,left,0.887
conflict,Sound,Movement,left,2.5,right,0.757
congruent,Sound,Movement,right,2.5,right,0.739
congruent,Movement,Sound,left,2.5,left,0.738
congruent,Sound,Movement,left,2.5,left,0.882
conflict,Movement,Sound,right,2.5,left,0.94
conflict,Movement,Sound,right,2.5,right,1.06
congruent,Sound,Movement,left,2.5,left,0.891
congruent,Movement,Sound,left,2.5,left,1.229
conflict,Movement,Sound,right,2.5,right,0.992
conflict,Sound,Movement,left,2.5,left,1.045
congruent,Movement,Sound,left,2.5,left,0.959
conflict,Sound,Movement,left,2.5,left,0.891
conflict,Movement,Sound,right,2.5,right,1.284
conflict,Sound,Movement,right,2.5,right,0.842
congruent,Sound,Movement,left,2.5,left,0.94
conflict,Sound,Movement,right,2.5,right,0.84
congruent,Movement,Sound,left,2.5,left,1.163
neutral,Movement,Movement,left,2.5,left,0.759
neutral,Movement,Movement,right,2.5,right,0.502
neutral,Movement,Movement,right,2.5,right,0.517
neutral,Movement,Movement,left,2.5,left,0.468
neutral,Movement,Movement,left,2.5,left,0.517
neutral,Movement,Movement,right,2.5,right,0.535
neutral,Movement,Movement,right,2.5,right,0.469
neutral,Movement,Movement,left,2.5,left,0.418
neutral,Movement,Movement,left,2.5,left,0.383
neutral,Movement,Movement,left,2.5,left,0.499
neutral,Direction,Direction,right,2.5,right,0.636
neutral,Direction,Direction,left,2.5,left,0.518
neutral,Direction,Direction,left,2.5,left,0.5
neutral,Direction,Direction,left,2.5,left,0.552
neutral,Direction,Direction,right,2.5,right,0.485
neutral,Direction,Direction,left,2.5,left,0.383
neutral,Direction,Direction,right,2.5,right,0.467
neutral,Direction,Direction,left,2.5,left,0.434
neutral,Direction,Direction,left,2.5,left,0.502
neutral,Direction,Direction,right,2.5,right,0.399
conflict,Movement,Direction,left,2.5,right,0.91
congruent,Movement,Direction,left,2.5,left,0.586
congruent,Movement,Direction,left,2.5,left,0.623
congruent,Movement,Direction,right,2.5,right,0.691
conflict,Movement,Direction,right,2.5,right,0.727
conflict,Movement,Direction,right,2.5,right,0.554
congruent,Movement,Direction,right,2.5,right,0.638
congruent,Movement,Direction,right,2.5,right,0.569
conflict,Movement,Direction,right,2.5,right,0.637
conflict,Movement,Direction,left,2.5,left,0.603
conflict,Direction,Movement,right,2.5,right,1.033
congruent,Direction,Movement,left,2.5,left,0.623
congruent,Direction,Movement,right,2.5,right,0.52
congruent,Direction,Movement,right,2.5,right,0.486
conflict,Direction,Movement,right,2.5,right,0.707
conflict,Direction,Movement,right,2.5,right,0.655
congruent,Direction,Movement,left,2.5,left,0.639
congruent,Direction,Movement,right,2.5,right,0.57
conflict,Direction,Movement,right,2.5,right,1.116
conflict,Direction,Movement,left,2.5,left,0.759
congruent,Direction,Movement,left,2.5,left,1.074
congruent,Movement,Direction,left,2.5,left,0.912
conflict,Direction,Movement,left,2.5,left,0.945
conflict,Movement,Direction,right,2.5,right,0.721
conflict,Movement,Direction,left,2.5,left,0.946
congruent,Direction,Movement,right,2.5,right,0.772
conflict,Direction,Movement,left,2.5,left,0.689
congruent,Movement,Direction,left,2.5,left,1.081
congruent,Direction,Movement,right,2.5,right,0.994
congruent,Movement,Direction,left,2.5,left,0.776
conflict,Direction,Movement,right,2.5,right,0.876
conflict,Direction,Movement,right,2.5,right,0.723
conflict,Movement,Direction,left,2.5,left,1.183
conflict,Direction,Movement,right,2.5,left,0.707
conflict,Movement,Direction,right,2.5,right,1.146
conflict,Movement,Direction,left,2.5,left,1.505
congruent,Movement,Direction,right,2.5,right,0.844
congruent,Movement,Direction,right,2.5,right,0.673
congruent,Direction,Movement,right,2.5,right,0.672
congruent,Direction,Movement,right,2.5,right,0.536
neutral,Direction,Direction,right,2.5,right,0.731
neutral,Direction,Direction,right,2.5,right,0.52
neutral,Direction,Direction,right,2.5,right,0.366
neutral,Direction,Direction,right,2.5,right,0.349
neutral,Direction,Direction,left,2.5,left,0.486
neutral,Direction,Direction,right,2.5,right,0.536
neutral,Direction,Direction,left,2.5,left,0.501
neutral,Direction,Direction,left,2.5,left,0.399
neutral,Direction,Direction,left,2.5,left,0.657
neutral,Direction,Direction,left,2.5,left,0.384
neutral,Sound,Sound,left,2.5,left,0.718
neutral,Sound,Sound,left,2.5,left,0.632
neutral,Sound,Sound,left,2.5,left,0.668
neutral,Sound,Sound,right,2.5,right,0.669
neutral,Sound,Sound,left,2.5,left,0.6
neutral,Sound,Sound,right,2.5,right,0.583
neutral,Sound,Sound,right,2.5,right,0.634
neutral,Sound,Sound,left,2.5,left,0.619
neutral,Sound,Sound,right,2.5,right,0.583
neutral,Sound,Sound,right,2.5,right,0.65
congruent,Direction,Sound,left,2.5,left,0.704
conflict,Direction,Sound,right,2.5,right,0.551
conflict,Direction,Sound,right,2.5,right,0.586
conflict,Direction,Sound,right,2.5,right,0.519
congruent,Direction,Sound,left,2.5,left,0.502
congruent,Direction,Sound,right,2.5,right,0.503
congruent,Direction,Sound,right,2.5,right,0.482
congruent,Direction,Sound,left,2.5,left,0.432
conflict,Direction,Sound,left,2.5,left,0.533
conflict,Direction,Sound,left,2.5,left,0.486
congruent,Sound,Direction,left,2.5,left,0.635
conflict,Sound,Direction,left,2.5,left,0.667
conflict,Sound,Direction,left,2.5,left,0.636
conflict,Sound,Direction,right,2.5,right,0.653
congruent,Sound,Direction,right,2.5,right,0.654
congruent,Sound,Direction,left,2.5,left,0.584
congruent,Sound,Direction,right,2.5,right,0.653
congruent,Sound,Direction,right,2.5,right,0.616
conflict,Sound,Direction,right,2.5,right,0.62
conflict,Sound,Direction,right,2.5,right,0.601
conflict,Sound,Direction,left,2.5,left,0.754
congruent,Direction,Sound,left,2.5,left,1.161
congruent,Sound,Direction,right,2.5,right,0.942
congruent,Direction,Sound,right,2.5,right,1.027
congruent,Direction,Sound,left,2.5,left,0.854
congruent,Sound,Direction,right,2.5,right,0.842
conflict,Direction,Sound,left,2.5,left,1.316
conflict,Direction,Sound,right,2.5,right,0.961
congruent,Direction,Sound,left,2.5,left,0.805
congruent,Direction,Sound,right,2.5,right,0.551
congruent,Sound,Direction,left,2.5,left,0.86
congruent,Sound,Direction,right,2.5,right,0.74
conflict,Direction,Sound,left,2.5,left,1.012
conflict,Sound,Direction,left,2.5,left,1.33
conflict,Sound,Direction,left,2.5,left,0.943
conflict,Direction,Sound,right,2.5,right,0.86
congruent,Sound,Direction,left,2.5,left,0.993
conflict,Sound,Direction,left,2.5,left,1.044
conflict,Direction,Sound,left,2.5,left,2.117
conflict,Sound,Direction,left,2.5,left,0.908
