polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,right,2.5,right,0.868
neutral,Movement,Movement,right,2.5,right,0.521
neutral,Movement,Movement,right,2.5,right,0.485
neutral,Movement,Movement,left,2.5,left,0.435
neutral,Movement,Movement,right,2.5,right,0.433
neutral,Movement,Movement,right,2.5,left,0.349
neutral,Movement,Movement,left,2.5,left,0.538
neutral,Movement,Movement,right,2.5,right,0.382
neutral,Movement,Movement,right,2.5,right,0.435
neutral,Movement,Movement,left,2.5,left,0.384
neutral,Direction,Direction,right,2.5,right,0.425
neutral,Direction,Direction,right,2.5,right,0.554
neutral,Direction,Direction,left,2.5,left,0.504
neutral,Direction,Direction,left,2.5,left,0.484
neutral,Direction,Direction,left,2.5,left,0.486
neutral,Direction,Direction,right,2.5,right,0.401
neutral,Direction,Direction,left,2.5,left,0.554
neutral,Direction,Direction,right,2.5,right,0.468
neutral,Direction,Direction,right,2.5,right,0.486
neutral,Direction,Direction,left,2.5,left,0.452
conflict,Movement,Direction,right,2.5,none,2.5
congruent,Movement,Direction,left,2.5,none,2.5
conflict,Movement,Direction,right,2.5,left,0.0
congruent,Movement,Direction,right,2.5,right,1.471
conflict,Movement,Direction,right,2.5,left,1.197
congruent,Movement,Direction,right,2.5,right,0.964
conflict,Movement,Direction,right,2.5,right,2.235
conflict,Movement,Direction,right,2.5,right,0.877
congruent,Movement,Direction,right,2.5,right,0.978
congruent,Movement,Direction,left,2.5,left,0.995
conflict,Direction,Movement,right,2.5,right,1.487
congruent,Direction,Movement,left,2.5,left,0.57
conflict,Direction,Movement,left,2.5,left,0.433
congruent,Direction,Movement,left,2.5,left,0.398
conflict,Direction,Movement,right,2.5,right,0.418
congruent,Direction,Movement,left,2.5,left,0.4
conflict,Direction,Movement,right,2.5,right,0.603
conflict,Direction,Movement,right,2.5,right,0.485
congruent,Direction,Movement,right,2.5,right,0.37
congruent,Direction,Movement,left,2.5,left,0.4
congruent,Direction,Movement,left,2.5,left,1.63
