polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Sound,Sound,right,2.5,right,0.816
neutral,Sound,Sound,right,2.5,right,0.687
neutral,Sound,Sound,right,2.5,right,0.603
neutral,Sound,Sound,left,2.5,left,0.601
neutral,Sound,Sound,right,2.5,left,0.601
neutral,Sound,Sound,right,2.5,right,0.0
neutral,Sound,Sound,right,2.5,right,0.769
neutral,Sound,Sound,right,2.5,right,0.672
neutral,Sound,Sound,right,2.5,right,0.583
neutral,Sound,Sound,left,2.5,left,0.704
neutral,Movement,Movement,left,2.5,left,0.62
neutral,Movement,Movement,left,2.5,left,0.484
neutral,Movement,Movement,left,2.5,left,0.402
neutral,Movement,Movement,left,2.5,left,0.365
neutral,Movement,Movement,right,2.5,right,0.367
neutral,Movement,Movement,left,2.5,left,0.365
neutral,Movement,Movement,right,2.5,right,0.331
neutral,Movement,Movement,right,2.5,right,0.383
neutral,Movement,Movement,left,2.5,right,0.35
neutral,Movement,Movement,left,2.5,left,0.607
congruent,Sound,Movement,right,2.5,right,0.532
conflict,Sound,Movement,right,2.5,left,0.637
congruent,Sound,Movement,right,2.5,right,0.43
conflict,Sound,Movement,right,2.5,left,0.483
conflict,Sound,Movement,right,2.5,right,0.808
congruent,Sound,Movement,left,2.5,left,0.737
congruent,Sound,Movement,left,2.5,left,0.721
conflict,Sound,Movement,right,2.5,left,0.567
congruent,Sound,Movement,left,2.5,left,0.722
conflict,Sound,Movement,left,2.5,left,0.755
congruent,Movement,Sound,right,2.5,right,0.777
conflict,Movement,Sound,left,2.5,left,0.466
congruent,Movement,Sound,right,2.5,right,0.38
conflict,Movement,Sound,left,2.5,left,0.467
conflict,Movement,Sound,left,2.5,left,0.429
congruent,Movement,Sound,right,2.5,right,0.351
congruent,Movement,Sound,left,2.5,left,0.468
conflict,Movement,Sound,left,2.5,left,0.428
congruent,Movement,Sound,right,2.5,right,0.378
conflict,Movement,Sound,left,2.5,left,0.399
congruent,Movement,Sound,right,2.5,right,0.467
conflict,Sound,Movement,left,2.5,left,1.01
conflict,Movement,Sound,left,2.5,right,0.0
conflict,Sound,Movement,right,2.5,right,0.875
congruent,Sound,Movement,left,2.5,left,0.736
congruent,Movement,Sound,left,2.5,left,0.856
conflict,Sound,Movement,left,2.5,right,1.01
conflict,Movement,Sound,left,2.5,right,1.045
conflict,Movement,Sound,left,2.5,left,0.809
conflict,Movement,Sound,left,2.5,left,0.432
conflict,Movement,Sound,left,2.5,left,0.5
congruent,Sound,Movement,right,2.5,right,0.84
congruent,Movement,Sound,left,2.5,left,0.617
conflict,Sound,Movement,right,2.5,left,1.182
congruent,Sound,Movement,right,2.5,right,0.772
conflict,Sound,Movement,left,2.5,left,0.911
congruent,Sound,Movement,right,2.5,right,0.737
congruent,Movement,Sound,right,2.5,right,0.872
congruent,Movement,Sound,right,2.5,right,0.771
congruent,Sound,Movement,right,2.5,right,1.861
neutral,Direction,Direction,right,2.5,right,0.488
neutral,Direction,Direction,left,2.5,left,0.398
neutral,Direction,Direction,right,2.5,left,0.383
neutral,Direction,Direction,left,2.5,right,0.0
neutral,Direction,Direction,left,2.5,left,0.486
neutral,Direction,Direction,right,2.5,right,0.435
neutral,Direction,Direction,left,2.5,left,0.501
neutral,Direction,Direction,right,2.5,right,0.504
neutral,Direction,Direction,right,2.5,right,0.417
neutral,Direction,Direction,right,2.5,right,0.417
neutral,Sound,Sound,right,2.5,right,0.687
neutral,Sound,Sound,left,2.5,left,0.687
neutral,Sound,Sound,right,2.5,right,0.633
neutral,Sound,Sound,left,2.5,left,0.653
neutral,Sound,Sound,right,2.5,right,0.587
neutral,Sound,Sound,left,2.5,left,0.565
neutral,Sound,Sound,right,2.5,right,0.531
neutral,Sound,Sound,left,2.5,left,0.533
neutral,Sound,Sound,left,2.5,left,0.718
neutral,Sound,Sound,left,2.5,left,0.565
congruent,Direction,Sound,right,2.5,right,0.513
conflict,Direction,Sound,right,2.5,right,0.641
conflict,Direction,Sound,left,2.5,left,0.485
conflict,Direction,Sound,right,2.5,right,0.992
conflict,Direction,Sound,right,2.5,right,0.603
congruent,Direction,Sound,left,2.5,left,0.396
congruent,Direction,Sound,right,2.5,right,0.447
conflict,Direction,Sound,left,2.5,left,0.363
congruent,Direction,Sound,left,2.5,left,0.378
congruent,Direction,Sound,right,2.5,right,0.397
congruent,Sound,Direction,left,2.5,left,0.796
conflict,Sound,Direction,left,2.5,right,0.876
conflict,Sound,Direction,left,2.5,left,0.671
conflict,Sound,Direction,right,2.5,right,0.705
conflict,Sound,Direction,left,2.5,left,0.874
congruent,Sound,Direction,right,2.5,right,0.653
congruent,Sound,Direction,left,2.5,left,0.536
conflict,Sound,Direction,left,2.5,left,0.636
congruent,Sound,Direction,right,2.5,right,0.583
congruent,Sound,Direction,left,2.5,left,0.602
conflict,Sound,Direction,right,2.5,right,1.075
conflict,Direction,Sound,right,2.5,right,0.806
conflict,Direction,Sound,left,2.5,right,0.922
congruent,Direction,Sound,left,2.5,left,0.788
congruent,Direction,Sound,right,2.5,right,1.302
conflict,Sound,Direction,right,2.5,right,1.382
congruent,Sound,Direction,right,2.5,right,0.757
congruent,Direction,Sound,left,2.5,left,1.197
congruent,Sound,Direction,right,2.5,right,0.857
conflict,Sound,Direction,left,2.5,left,1.846
conflict,Direction,Sound,left,2.5,left,1.317
conflict,Direction,Sound,right,2.5,right,0.619
congruent,Sound,Direction,left,2.5,left,0.993
conflict,Direction,Sound,right,2.5,right,1.161
congruent,Direction,Sound,right,2.5,right,1.334
conflict,Sound,Direction,left,2.5,left,1.009
congruent,Direction,Sound,right,2.5,right,1.573
congruent,Sound,Direction,left,2.5,left,0.586
conflict,Sound,Direction,right,2.5,left,1.144
congruent,Sound,Direction,right,2.5,right,0.773
neutral,Movement,Movement,right,2.5,right,0.602
neutral,Movement,Movement,left,2.5,left,0.451
neutral,Movement,Movement,left,2.5,left,0.486
neutral,Movement,Movement,right,2.5,right,0.452
neutral,Movement,Movement,right,2.5,right,0.435
neutral,Movement,Movement,right,2.5,right,0.383
neutral,Movement,Movement,left,2.5,left,0.432
neutral,Movement,Movement,right,2.5,right,0.623
neutral,Movement,Movement,right,2.5,right,0.453
neutral,Movement,Movement,right,2.5,right,0.384
neutral,Direction,Direction,right,2.5,right,0.559
neutral,Direction,Direction,right,2.5,right,0.451
neutral,Direction,Direction,left,2.5,left,0.4
neutral,Direction,Direction,right,2.5,left,0.334
neutral,Direction,Direction,left,2.5,left,0.468
neutral,Direction,Direction,left,2.5,left,0.38
neutral,Direction,Direction,right,2.5,right,0.586
neutral,Direction,Direction,right,2.5,right,0.416
neutral,Direction,Direction,left,2.5,left,0.385
neutral,Direction,Direction,left,2.5,left,0.449
conflict,Movement,Direction,right,2.5,right,1.441
congruent,Movement,Direction,left,2.5,left,0.673
congruent,Movement,Direction,left,2.5,left,0.454
congruent,Movement,Direction,left,2.5,left,0.418
congruent,Movement,Direction,right,2.5,right,0.383
conflict,Movement,Direction,left,2.5,right,0.619
congruent,Movement,Direction,right,2.5,right,0.434
conflict,Movement,Direction,right,2.5,right,0.722
conflict,Movement,Direction,right,2.5,right,0.469
conflict,Movement,Direction,right,2.5,right,0.469
conflict,Direction,Movement,left,2.5,left,1.353
congruent,Direction,Movement,right,2.5,right,0.401
congruent,Direction,Movement,left,2.5,left,0.552
congruent,Direction,Movement,left,2.5,left,0.502
congruent,Direction,Movement,left,2.5,left,0.501
conflict,Direction,Movement,left,2.5,left,0.454
congruent,Direction,Movement,left,2.5,left,0.365
conflict,Direction,Movement,left,2.5,left,0.331
conflict,Direction,Movement,left,2.5,left,0.366
conflict,Direction,Movement,left,2.5,left,0.315
conflict,Direction,Movement,right,2.5,right,0.654
congruent,Movement,Direction,left,2.5,left,1.06
conflict,Direction,Movement,left,2.5,left,1.049
congruent,Movement,Direction,right,2.5,right,0.571
conflict,Movement,Direction,right,2.5,right,1.577
conflict,Direction,Movement,right,2.5,right,0.808
congruent,Direction,Movement,right,2.5,right,0.487
conflict,Movement,Direction,left,2.5,left,1.42
congruent,Movement,Direction,right,2.5,right,0.79
congruent,Movement,Direction,left,2.5,left,1.214
conflict,Movement,Direction,left,2.5,right,0.774
congruent,Direction,Movement,left,2.5,left,1.541
congruent,Direction,Movement,right,2.5,right,1.251
congruent,Direction,Movement,left,2.5,left,0.672
conflict,Direction,Movement,right,2.5,right,0.519
conflict,Movement,Direction,right,2.5,right,0.945
congruent,Direction,Movement,right,2.5,right,0.96
conflict,Movement,Direction,right,2.5,left,0.691
conflict,Direction,Movement,left,2.5,right,0.839
congruent,Movement,Direction,left,2.5,left,0.964
