polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,0.61
neutral,Movement,Movement,left,2.5,left,0.517
neutral,Movement,Movement,left,2.5,left,0.38
neutral,Movement,Movement,left,2.5,left,0.433
neutral,Movement,Movement,left,2.5,left,0.366
neutral,Movement,Movement,left,2.5,left,0.403
neutral,Movement,Movement,right,2.5,right,0.485
neutral,Movement,Movement,left,2.5,left,0.468
neutral,Movement,Movement,left,2.5,left,0.382
neutral,Movement,Movement,left,2.5,left,0.382
neutral,Direction,Direction,left,2.5,left,0.414
neutral,Direction,Direction,left,2.5,left,0.399
neutral,Direction,Direction,right,2.5,right,0.435
neutral,Direction,Direction,right,2.5,right,0.401
neutral,Direction,Direction,left,2.5,left,0.52
neutral,Direction,Direction,left,2.5,left,0.347
neutral,Direction,Direction,left,2.5,left,0.419
neutral,Direction,Direction,left,2.5,left,0.382
neutral,Direction,Direction,right,2.5,right,0.369
neutral,Direction,Direction,right,2.5,left,0.331
conflict,Movement,Direction,left,2.5,left,0.964
conflict,Movement,Direction,right,2.5,right,0.605
congruent,Movement,Direction,left,2.5,left,0.706
congruent,Movement,Direction,right,2.5,right,0.451
congruent,Movement,Direction,left,2.5,left,0.452
conflict,Movement,Direction,right,2.5,left,0.434
congruent,Movement,Direction,right,2.5,right,0.568
conflict,Movement,Direction,right,2.5,right,0.569
conflict,Movement,Direction,left,2.5,left,0.537
congruent,Movement,Direction,left,2.5,left,0.519
conflict,Direction,Movement,right,2.5,right,1.147
conflict,Direction,Movement,left,2.5,left,0.841
congruent,Direction,Movement,right,2.5,right,0.588
congruent,Direction,Movement,right,2.5,right,0.397
congruent,Direction,Movement,left,2.5,left,0.38
conflict,Direction,Movement,left,2.5,left,0.416
congruent,Direction,Movement,right,2.5,right,0.452
conflict,Direction,Movement,right,2.5,right,0.451
conflict,Direction,Movement,right,2.5,right,0.451
congruent,Direction,Movement,right,2.5,right,0.382
congruent,Movement,Direction,right,2.5,right,0.451
congruent,Direction,Movement,left,2.5,left,0.824
conflict,Direction,Movement,right,2.5,right,0.792
congruent,Direction,Movement,left,2.5,left,0.589
conflict,Movement,Direction,left,2.5,left,0.76
conflict,Movement,Direction,right,2.5,right,0.689
congruent,Movement,Direction,right,2.5,right,0.636
congruent,Direction,Movement,right,2.5,right,0.468
congruent,Movement,Direction,left,2.5,left,0.502
congruent,Direction,Movement,left,2.5,left,0.537
conflict,Movement,Direction,right,2.5,right,1.1
conflict,Direction,Movement,left,2.5,left,1.049
congruent,Movement,Direction,right,2.5,right,0.859
congruent,Direction,Movement,right,2.5,right,0.638
conflict,Direction,Movement,left,2.5,left,0.982
conflict,Direction,Movement,left,2.5,left,0.791
conflict,Movement,Direction,left,2.5,left,0.759
conflict,Direction,Movement,right,2.5,right,0.859
conflict,Movement,Direction,right,2.5,right,1.337
congruent,Movement,Direction,left,2.5,left,0.859
neutral,Sound,Sound,left,2.5,left,0.823
neutral,Sound,Sound,left,2.5,left,0.634
neutral,Sound,Sound,left,2.5,left,0.549
neutral,Sound,Sound,left,2.5,left,0.588
neutral,Sound,Sound,right,2.5,right,0.638
neutral,Sound,Sound,right,2.5,right,0.514
neutral,Sound,Sound,right,2.5,right,0.35
neutral,Sound,Sound,left,2.5,left,0.549
neutral,Sound,Sound,right,2.5,right,0.6
neutral,Sound,Sound,left,2.5,left,0.516
neutral,Movement,Movement,left,2.5,left,0.744
neutral,Movement,Movement,left,2.5,left,0.469
neutral,Movement,Movement,right,2.5,right,0.366
neutral,Movement,Movement,left,2.5,left,0.399
neutral,Movement,Movement,left,2.5,left,0.383
neutral,Movement,Movement,right,2.5,right,0.45
neutral,Movement,Movement,right,2.5,right,0.436
neutral,Movement,Movement,left,2.5,left,0.503
neutral,Movement,Movement,left,2.5,left,0.4
neutral,Movement,Movement,right,2.5,right,0.417
congruent,Sound,Movement,left,2.5,left,0.446
conflict,Sound,Movement,left,2.5,right,0.518
conflict,Sound,Movement,right,2.5,right,1.113
congruent,Sound,Movement,right,2.5,right,0.431
congruent,Sound,Movement,right,2.5,right,0.587
congruent,Sound,Movement,right,2.5,right,0.519
congruent,Sound,Movement,left,2.5,left,0.5
conflict,Sound,Movement,left,2.5,left,0.756
conflict,Sound,Movement,left,2.5,left,0.603
conflict,Sound,Movement,left,2.5,left,0.605
congruent,Movement,Sound,right,2.5,right,0.551
conflict,Movement,Sound,left,2.5,left,0.637
conflict,Movement,Sound,right,2.5,right,0.992
congruent,Movement,Sound,left,2.5,left,0.485
congruent,Movement,Sound,right,2.5,right,0.483
congruent,Movement,Sound,left,2.5,left,0.448
congruent,Movement,Sound,right,2.5,right,0.586
conflict,Movement,Sound,right,2.5,right,0.5
conflict,Movement,Sound,right,2.5,right,0.432
conflict,Movement,Sound,left,2.5,left,0.486
congruent,Sound,Movement,right,2.5,right,0.71
congruent,Movement,Sound,left,2.5,left,0.774
congruent,Movement,Sound,right,2.5,right,0.855
congruent,Sound,Movement,left,2.5,left,0.978
conflict,Movement,Sound,left,2.5,left,1.058
congruent,Movement,Sound,right,2.5,right,0.618
conflict,Sound,Movement,left,2.5,left,1.178
congruent,Movement,Sound,right,2.5,right,1.077
conflict,Movement,Sound,left,2.5,left,0.942
conflict,Movement,Sound,right,2.5,right,0.532
congruent,Sound,Movement,right,2.5,right,0.929
congruent,Movement,Sound,left,2.5,left,0.841
conflict,Sound,Movement,right,2.5,right,1.13
conflict,Movement,Sound,left,2.5,right,0.941
congruent,Sound,Movement,left,2.5,left,1.571
conflict,Movement,Sound,right,2.5,right,1.008
conflict,Sound,Movement,right,2.5,right,0.805
congruent,Sound,Movement,left,2.5,left,0.907
conflict,Sound,Movement,left,2.5,left,0.754
conflict,Sound,Movement,right,2.5,right,0.926
neutral,Direction,Direction,right,2.5,right,0.623
neutral,Direction,Direction,left,2.5,left,0.431
neutral,Direction,Direction,left,2.5,left,0.433
neutral,Direction,Direction,right,2.5,right,0.585
neutral,Direction,Direction,right,2.5,right,0.45
neutral,Direction,Direction,left,2.5,left,0.451
neutral,Direction,Direction,right,2.5,right,0.366
neutral,Direction,Direction,right,2.5,right,0.384
neutral,Direction,Direction,left,2.5,left,0.452
neutral,Direction,Direction,right,2.5,left,0.384
neutral,Sound,Sound,right,2.5,right,0.907
neutral,Sound,Sound,right,2.5,right,0.637
neutral,Sound,Sound,right,2.5,right,0.603
neutral,Sound,Sound,right,2.5,right,0.517
neutral,Sound,Sound,right,2.5,right,0.515
neutral,Sound,Sound,left,2.5,left,0.618
neutral,Sound,Sound,left,2.5,left,0.55
neutral,Sound,Sound,right,2.5,right,0.571
neutral,Sound,Sound,left,2.5,left,0.553
neutral,Sound,Sound,left,2.5,left,0.623
congruent,Direction,Sound,right,2.5,right,0.467
conflict,Direction,Sound,right,2.5,right,0.548
congruent,Direction,Sound,left,2.5,left,0.399
conflict,Direction,Sound,left,2.5,left,0.672
congruent,Direction,Sound,right,2.5,right,0.484
conflict,Direction,Sound,left,2.5,left,0.55
conflict,Direction,Sound,right,2.5,right,0.384
congruent,Direction,Sound,right,2.5,right,0.481
conflict,Direction,Sound,right,2.5,right,0.382
congruent,Direction,Sound,right,2.5,right,0.365
congruent,Sound,Direction,right,2.5,right,0.516
conflict,Sound,Direction,left,2.5,left,1.591
congruent,Sound,Direction,right,2.5,right,0.774
conflict,Sound,Direction,left,2.5,left,0.806
congruent,Sound,Direction,left,2.5,left,0.772
conflict,Sound,Direction,right,2.5,right,0.622
conflict,Sound,Direction,left,2.5,left,0.722
congruent,Sound,Direction,right,2.5,right,0.586
conflict,Sound,Direction,left,2.5,left,0.758
congruent,Sound,Direction,right,2.5,right,0.654
conflict,Sound,Direction,right,2.5,right,0.738
conflict,Sound,Direction,right,2.5,right,0.844
congruent,Sound,Direction,left,2.5,left,0.618
congruent,Sound,Direction,right,2.5,right,0.414
conflict,Sound,Direction,left,2.5,right,0.57
congruent,Direction,Sound,left,2.5,left,1.161
conflict,Direction,Sound,left,2.5,left,0.772
conflict,Sound,Direction,right,2.5,left,1.184
congruent,Sound,Direction,right,2.5,right,1.062
conflict,Direction,Sound,right,2.5,right,0.74
congruent,Direction,Sound,left,2.5,left,0.484
congruent,Direction,Sound,right,2.5,right,0.38
congruent,Direction,Sound,left,2.5,left,0.399
conflict,Direction,Sound,right,2.5,right,0.366
conflict,Direction,Sound,right,2.5,right,0.482
conflict,Sound,Direction,left,2.5,left,0.824
conflict,Direction,Sound,left,2.5,left,0.941
congruent,Sound,Direction,left,2.5,left,0.945
congruent,Sound,Direction,left,2.5,left,0.532
congruent,Direction,Sound,right,2.5,right,1.165
