polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,right,2.5,none,2.5
neutral,Movement,Movement,left,2.5,left,1.528
neutral,Movement,Movement,left,2.5,left,1.261
neutral,Movement,Movement,right,2.5,right,0.585
neutral,Movement,Movement,right,2.5,right,0.542
neutral,Direction,Direction,right,2.5,right,0.78
neutral,Direction,Direction,left,2.5,right,0.765
neutral,Direction,Direction,right,2.5,right,1.171
neutral,Direction,Direction,left,2.5,left,0.594
neutral,Direction,Direction,right,2.5,left,0.97
congruent,Movement,Direction,left,2.5,left,1.513
conflict,Movement,Direction,left,2.5,left,2.138
conflict,Movement,Direction,left,2.5,left,1.118
congruent,Movement,Direction,left,2.5,left,1.179
conflict,Movement,Direction,right,2.5,right,0.398
congruent,Movement,Direction,left,2.5,right,0.199
conflict,Movement,Direction,left,2.5,left,0.019
congruent,Movement,Direction,left,2.5,right,0.159
conflict,Movement,Direction,left,2.5,left,0.06
congruent,Movement,Direction,right,2.5,right,0.12
congruent,Direction,Movement,left,2.5,left,0.0
conflict,Direction,Movement,left,2.5,right,0.569
conflict,Direction,Movement,left,2.5,left,0.184
congruent,Direction,Movement,left,2.5,right,0.134
conflict,Direction,Movement,right,2.5,left,0.219
congruent,Direction,Movement,right,2.5,right,0.167
conflict,Direction,Movement,left,2.5,left,0.22
congruent,Direction,Movement,right,2.5,right,0.168
conflict,Direction,Movement,right,2.5,left,0.22
congruent,Direction,Movement,left,2.5,right,0.169
conflict,Movement,Direction,right,2.5,right,0.852
congruent,Movement,Direction,right,2.5,right,0.525
conflict,Movement,Direction,left,2.5,left,0.524
congruent,Movement,Direction,left,2.5,right,0.524
conflict,Direction,Movement,left,2.5,left,0.475
congruent,Movement,Direction,left,2.5,right,0.492
conflict,Movement,Direction,left,2.5,left,0.338
congruent,Direction,Movement,right,2.5,right,0.39
conflict,Direction,Movement,right,2.5,left,0.372
conflict,Movement,Direction,right,2.5,right,0.407
conflict,Direction,Movement,left,2.5,left,0.424
congruent,Movement,Direction,left,2.5,left,0.729
congruent,Direction,Movement,right,2.5,right,1.343
congruent,Movement,Direction,right,2.5,right,1.41
conflict,Movement,Direction,right,2.5,left,1.037
congruent,Direction,Movement,left,2.5,left,1.101
conflict,Direction,Movement,right,2.5,right,0.983
conflict,Direction,Movement,right,2.5,left,0.425
congruent,Direction,Movement,left,2.5,right,0.391
congruent,Direction,Movement,left,2.5,left,0.408
neutral,Sound,Sound,left,2.5,none,2.5
