polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,0.992
neutral,Movement,Movement,left,2.5,left,0.874
neutral,Movement,Movement,right,2.5,right,0.691
neutral,Movement,Movement,left,2.5,left,0.591
neutral,Movement,Movement,left,2.5,left,0.808
neutral,Movement,Movement,right,2.5,right,0.588
neutral,Movement,Movement,right,2.5,right,0.755
neutral,Movement,Movement,left,2.5,left,0.67
neutral,Movement,Movement,right,2.5,right,0.383
neutral,Movement,Movement,right,2.5,right,0.468
neutral,Direction,Direction,left,2.5,left,0.52
neutral,Direction,Direction,right,2.5,right,0.501
neutral,Direction,Direction,left,2.5,left,0.449
neutral,Direction,Direction,right,2.5,right,0.421
neutral,Direction,Direction,left,2.5,left,0.519
neutral,Direction,Direction,right,2.5,right,0.385
neutral,Direction,Direction,left,2.5,left,0.347
neutral,Direction,Direction,left,2.5,left,0.417
neutral,Direction,Direction,right,2.5,left,0.366
neutral,Direction,Direction,right,2.5,right,0.654
congruent,Movement,Direction,left,2.5,left,0.912
conflict,Movement,Direction,right,2.5,left,0.605
congruent,Movement,Direction,right,2.5,right,0.859
conflict,Movement,Direction,right,2.5,right,0.773
conflict,Movement,Direction,right,2.5,right,0.639
congruent,Movement,Direction,left,2.5,left,0.622
conflict,Movement,Direction,left,2.5,left,0.655
conflict,Movement,Direction,left,2.5,left,0.675
congruent,Movement,Direction,left,2.5,left,0.486
congruent,Movement,Direction,right,2.5,right,0.553
congruent,Direction,Movement,left,2.5,left,0.565
conflict,Direction,Movement,left,2.5,left,0.45
congruent,Direction,Movement,left,2.5,left,0.419
conflict,Direction,Movement,left,2.5,left,0.434
conflict,Direction,Movement,left,2.5,left,0.553
congruent,Direction,Movement,right,2.5,right,0.384
conflict,Direction,Movement,left,2.5,left,0.418
conflict,Direction,Movement,right,2.5,right,0.316
congruent,Direction,Movement,right,2.5,right,0.434
congruent,Direction,Movement,right,2.5,right,0.351
congruent,Movement,Direction,right,2.5,right,0.48
conflict,Direction,Movement,left,2.5,left,0.485
conflict,Direction,Movement,left,2.5,left,0.467
congruent,Direction,Movement,left,2.5,left,0.826
congruent,Direction,Movement,right,2.5,right,0.468
conflict,Direction,Movement,left,2.5,left,0.571
congruent,Movement,Direction,right,2.5,right,0.79
congruent,Direction,Movement,left,2.5,left,0.553
conflict,Direction,Movement,left,2.5,left,0.553
congruent,Movement,Direction,right,2.5,right,0.689
conflict,Movement,Direction,left,2.5,left,0.689
congruent,Direction,Movement,left,2.5,left,0.723
congruent,Direction,Movement,left,2.5,left,0.452
conflict,Movement,Direction,left,2.5,left,0.823
congruent,Movement,Direction,right,2.5,right,0.622
conflict,Movement,Direction,left,2.5,left,0.621
conflict,Movement,Direction,left,2.5,left,0.589
congruent,Movement,Direction,right,2.5,right,0.537
conflict,Direction,Movement,right,2.5,right,0.743
conflict,Movement,Direction,right,2.5,right,0.774
