polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,right,2.5,right,1.507
neutral,Movement,Movement,left,2.5,left,0.793
neutral,Movement,Movement,right,2.5,right,0.541
neutral,Movement,Movement,right,2.5,right,0.861
neutral,Movement,Movement,right,2.5,right,0.722
neutral,Movement,Movement,right,2.5,right,0.657
neutral,Movement,Movement,right,2.5,right,0.571
neutral,Movement,Movement,right,2.5,right,0.673
neutral,Movement,Movement,right,2.5,right,0.501
neutral,Movement,Movement,left,2.5,left,0.638
neutral,Direction,Direction,right,2.5,right,0.706
neutral,Direction,Direction,right,2.5,right,0.913
neutral,Direction,Direction,right,2.5,right,0.827
neutral,Direction,Direction,right,2.5,none,2.5
neutral,Direction,Direction,left,2.5,left,1.013
neutral,Direction,Direction,right,2.5,right,0.622
neutral,Direction,Direction,right,2.5,right,1.217
neutral,Direction,Direction,left,2.5,left,0.552
neutral,Direction,Direction,left,2.5,left,0.571
neutral,Direction,Direction,left,2.5,left,0.486
congruent,Movement,Direction,left,2.5,left,0.893
conflict,Movement,Direction,right,2.5,left,0.997
congruent,Movement,Direction,left,2.5,left,0.979
conflict,Movement,Direction,right,2.5,right,0.964
conflict,Movement,Direction,right,2.5,right,0.98
congruent,Movement,Direction,right,2.5,right,0.757
conflict,Movement,Direction,left,2.5,left,0.946
congruent,Movement,Direction,left,2.5,left,0.742
conflict,Movement,Direction,left,2.5,left,0.98
congruent,Movement,Direction,right,2.5,right,0.724
congruent,Direction,Movement,right,2.5,right,0.673
conflict,Direction,Movement,left,2.5,left,0.755
congruent,Direction,Movement,right,2.5,right,0.554
conflict,Direction,Movement,left,2.5,left,0.537
conflict,Direction,Movement,left,2.5,left,0.657
congruent,Direction,Movement,left,2.5,left,0.52
conflict,Direction,Movement,left,2.5,left,0.62
congruent,Direction,Movement,right,2.5,right,0.536
conflict,Direction,Movement,right,2.5,right,0.486
congruent,Direction,Movement,right,2.5,right,0.537
conflict,Movement,Direction,left,2.5,none,2.5
congruent,Movement,Direction,right,2.5,right,1.012
conflict,Direction,Movement,left,2.5,left,0.981
congruent,Direction,Movement,right,2.5,none,2.5
congruent,Movement,Direction,left,2.5,left,1.731
conflict,Movement,Direction,left,2.5,right,1.541
congruent,Direction,Movement,right,2.5,right,1.999
conflict,Direction,Movement,left,2.5,left,1.899
congruent,Direction,Movement,right,2.5,right,0.961
congruent,Direction,Movement,right,2.5,right,1.322
congruent,Movement,Direction,left,2.5,left,1.012
congruent,Movement,Direction,left,2.5,left,1.03
congruent,Movement,Direction,left,2.5,left,1.336
conflict,Direction,Movement,left,2.5,left,1.061
conflict,Movement,Direction,right,2.5,right,0.93
congruent,Direction,Movement,left,2.5,left,1.523
conflict,Direction,Movement,right,2.5,right,1.148
conflict,Movement,Direction,left,2.5,right,1.32
conflict,Movement,Direction,right,2.5,none,2.5
conflict,Direction,Movement,left,2.5,left,1.013
neutral,Sound,Sound,left,2.5,left,0.978
neutral,Sound,Sound,right,2.5,right,0.927
neutral,Sound,Sound,right,2.5,right,0.874
neutral,Sound,Sound,right,2.5,right,0.688
neutral,Sound,Sound,left,2.5,left,0.721
neutral,Sound,Sound,left,2.5,left,1.012
neutral,Sound,Sound,left,2.5,left,0.702
neutral,Sound,Sound,left,2.5,left,0.672
neutral,Sound,Sound,left,2.5,left,0.685
neutral,Sound,Sound,left,2.5,left,0.84
neutral,Movement,Movement,left,2.5,left,0.94
neutral,Movement,Movement,left,2.5,left,0.773
neutral,Movement,Movement,left,2.5,left,0.755
neutral,Movement,Movement,right,2.5,right,0.706
neutral,Movement,Movement,left,2.5,left,0.569
neutral,Movement,Movement,left,2.5,left,0.588
neutral,Movement,Movement,right,2.5,right,0.603
neutral,Movement,Movement,left,2.5,left,0.554
neutral,Movement,Movement,left,2.5,left,0.519
neutral,Movement,Movement,right,2.5,right,0.52
congruent,Sound,Movement,right,2.5,none,2.5
congruent,Sound,Movement,left,2.5,left,0.741
conflict,Sound,Movement,left,2.5,right,0.5
congruent,Sound,Movement,left,2.5,left,0.465
conflict,Sound,Movement,right,2.5,left,0.893
conflict,Sound,Movement,right,2.5,right,1.333
congruent,Sound,Movement,right,2.5,right,0.873
conflict,Sound,Movement,left,2.5,left,0.923
congruent,Sound,Movement,left,2.5,left,0.841
conflict,Sound,Movement,right,2.5,right,1.538
congruent,Movement,Sound,right,2.5,right,0.655
congruent,Movement,Sound,left,2.5,left,1.024
conflict,Movement,Sound,right,2.5,right,0.704
congruent,Movement,Sound,left,2.5,left,0.927
conflict,Movement,Sound,right,2.5,right,0.552
conflict,Movement,Sound,left,2.5,left,0.518
congruent,Movement,Sound,left,2.5,left,0.739
conflict,Movement,Sound,right,2.5,right,0.753
congruent,Movement,Sound,left,2.5,left,0.686
conflict,Movement,Sound,right,2.5,right,0.62
congruent,Movement,Sound,right,2.5,right,1.043
conflict,Sound,Movement,left,2.5,left,2.168
conflict,Sound,Movement,right,2.5,right,1.096
conflict,Movement,Sound,left,2.5,left,1.334
congruent,Movement,Sound,left,2.5,left,0.962
conflict,Sound,Movement,left,2.5,left,1.573
conflict,Movement,Sound,right,2.5,right,1.267
conflict,Sound,Movement,left,2.5,left,0.992
congruent,Movement,Sound,right,2.5,right,1.061
congruent,Sound,Movement,right,2.5,right,1.25
conflict,Movement,Sound,right,2.5,left,1.383
congruent,Sound,Movement,left,2.5,left,1.808
congruent,Movement,Sound,left,2.5,left,1.382
congruent,Sound,Movement,left,2.5,left,1.317
congruent,Sound,Movement,right,2.5,right,1.111
conflict,Movement,Sound,left,2.5,left,1.91
conflict,Sound,Movement,left,2.5,left,1.675
congruent,Movement,Sound,right,2.5,right,1.285
congruent,Sound,Movement,right,2.5,right,1.367
conflict,Movement,Sound,left,2.5,left,1.841
neutral,Direction,Direction,right,2.5,right,1.64
neutral,Direction,Direction,right,2.5,right,0.789
neutral,Direction,Direction,left,2.5,left,0.875
neutral,Direction,Direction,right,2.5,right,1.49
neutral,Direction,Direction,right,2.5,right,0.654
neutral,Direction,Direction,left,2.5,left,1.063
neutral,Direction,Direction,right,2.5,right,0.861
neutral,Direction,Direction,left,2.5,left,0.707
neutral,Direction,Direction,left,2.5,left,0.739
neutral,Direction,Direction,right,2.5,right,0.689
neutral,Sound,Sound,left,2.5,left,2.496
neutral,Sound,Sound,right,2.5,right,1.18
neutral,Sound,Sound,right,2.5,right,0.86
neutral,Sound,Sound,right,2.5,right,0.773
neutral,Sound,Sound,right,2.5,right,0.683
neutral,Sound,Sound,right,2.5,right,0.617
neutral,Sound,Sound,left,2.5,left,0.74
neutral,Sound,Sound,left,2.5,left,0.667
neutral,Sound,Sound,left,2.5,left,0.599
neutral,Sound,Sound,right,2.5,right,0.723
congruent,Direction,Sound,left,2.5,left,1.251
congruent,Direction,Sound,right,2.5,right,1.082
conflict,Direction,Sound,left,2.5,left,0.907
conflict,Direction,Sound,right,2.5,right,0.941
conflict,Direction,Sound,right,2.5,right,0.517
conflict,Direction,Sound,left,2.5,left,0.738
congruent,Direction,Sound,left,2.5,left,0.891
conflict,Direction,Sound,left,2.5,left,0.855
congruent,Direction,Sound,right,2.5,right,0.566
congruent,Direction,Sound,left,2.5,left,0.72
congruent,Sound,Direction,left,2.5,left,1.312
congruent,Sound,Direction,right,2.5,right,0.961
conflict,Sound,Direction,right,2.5,right,1.727
conflict,Sound,Direction,right,2.5,right,0.753
conflict,Sound,Direction,left,2.5,left,0.772
conflict,Sound,Direction,right,2.5,right,0.789
congruent,Sound,Direction,right,2.5,right,0.976
conflict,Sound,Direction,right,2.5,right,1.47
congruent,Sound,Direction,right,2.5,right,0.824
congruent,Sound,Direction,right,2.5,right,0.722
congruent,Sound,Direction,right,2.5,right,1.229
conflict,Sound,Direction,left,2.5,left,1.179
conflict,Direction,Sound,left,2.5,left,1.796
conflict,Sound,Direction,left,2.5,left,2.009
conflict,Direction,Sound,right,2.5,right,1.793
congruent,Sound,Direction,left,2.5,left,1.012
congruent,Direction,Sound,left,2.5,left,1.399
conflict,Sound,Direction,right,2.5,right,1.231
conflict,Direction,Sound,left,2.5,left,1.977
conflict,Sound,Direction,left,2.5,left,2.099
congruent,Sound,Direction,left,2.5,left,1.097
congruent,Direction,Sound,left,2.5,left,1.146
congruent,Direction,Sound,right,2.5,right,1.609
conflict,Sound,Direction,left,2.5,left,1.297
congruent,Direction,Sound,left,2.5,left,1.212
congruent,Direction,Sound,right,2.5,right,1.182
congruent,Sound,Direction,left,2.5,left,1.282
conflict,Direction,Sound,left,2.5,left,1.93
congruent,Sound,Direction,left,2.5,left,1.465
conflict,Direction,Sound,right,2.5,right,1.69
