polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,right,2.5,right,0.889
neutral,Movement,Movement,right,2.5,right,0.623
neutral,Movement,Movement,right,2.5,right,0.552
neutral,Movement,Movement,left,2.5,left,0.637
neutral,Movement,Movement,left,2.5,left,0.571
neutral,Movement,Movement,right,2.5,right,0.486
neutral,Movement,Movement,right,2.5,right,0.503
neutral,Movement,Movement,left,2.5,left,0.468
neutral,Movement,Movement,right,2.5,right,0.432
neutral,Movement,Movement,right,2.5,right,0.484
neutral,Direction,Direction,right,2.5,right,0.639
neutral,Direction,Direction,right,2.5,right,0.468
neutral,Direction,Direction,left,2.5,left,0.485
neutral,Direction,Direction,right,2.5,right,0.568
neutral,Direction,Direction,right,2.5,right,0.5
neutral,Direction,Direction,left,2.5,left,0.399
neutral,Direction,Direction,right,2.5,right,0.74
neutral,Direction,Direction,left,2.5,left,0.536
neutral,Direction,Direction,right,2.5,right,0.688
neutral,Direction,Direction,left,2.5,left,0.431
congruent,Movement,Direction,left,2.5,left,0.739
congruent,Movement,Direction,right,2.5,right,0.485
congruent,Movement,Direction,right,2.5,right,1.048
conflict,Movement,Direction,left,2.5,left,0.469
congruent,Movement,Direction,left,2.5,left,0.554
conflict,Movement,Direction,right,2.5,right,0.501
conflict,Movement,Direction,left,2.5,left,0.418
conflict,Movement,Direction,right,2.5,right,0.432
conflict,Movement,Direction,left,2.5,left,0.418
congruent,Movement,Direction,right,2.5,right,0.382
congruent,Direction,Movement,right,2.5,right,0.539
congruent,Direction,Movement,left,2.5,left,0.314
congruent,Direction,Movement,left,2.5,right,0.417
conflict,Direction,Movement,right,2.5,right,0.587
congruent,Direction,Movement,right,2.5,right,0.433
conflict,Direction,Movement,right,2.5,right,0.553
conflict,Direction,Movement,right,2.5,right,0.451
conflict,Direction,Movement,left,2.5,left,0.467
conflict,Direction,Movement,right,2.5,right,0.366
congruent,Direction,Movement,left,2.5,left,0.331
congruent,Direction,Movement,left,2.5,left,1.079
conflict,Movement,Direction,right,2.5,right,0.707
conflict,Direction,Movement,right,2.5,left,0.69
conflict,Movement,Direction,right,2.5,left,0.773
conflict,Movement,Direction,left,2.5,right,0.604
congruent,Direction,Movement,right,2.5,right,0.74
congruent,Movement,Direction,right,2.5,right,0.741
congruent,Movement,Direction,left,2.5,left,1.286
congruent,Direction,Movement,left,2.5,right,0.976
congruent,Movement,Direction,left,2.5,left,0.911
conflict,Movement,Direction,right,2.5,right,0.926
congruent,Direction,Movement,right,2.5,right,1.169
conflict,Direction,Movement,right,2.5,right,1.217
congruent,Movement,Direction,left,2.5,left,0.999
conflict,Direction,Movement,right,2.5,right,1.185
conflict,Direction,Movement,right,2.5,right,0.894
congruent,Direction,Movement,left,2.5,left,0.74
congruent,Movement,Direction,left,2.5,left,0.961
conflict,Direction,Movement,right,2.5,right,1.114
conflict,Movement,Direction,right,2.5,right,1.204
neutral,Sound,Sound,right,2.5,right,0.82
neutral,Sound,Sound,right,2.5,right,0.667
neutral,Sound,Sound,left,2.5,left,0.704
neutral,Sound,Sound,right,2.5,right,0.702
neutral,Sound,Sound,right,2.5,right,0.769
neutral,Sound,Sound,left,2.5,left,0.667
neutral,Sound,Sound,left,2.5,left,0.703
neutral,Sound,Sound,left,2.5,left,0.684
neutral,Sound,Sound,right,2.5,right,0.621
neutral,Sound,Sound,right,2.5,right,0.617
neutral,Movement,Movement,left,2.5,left,0.539
neutral,Movement,Movement,left,2.5,left,0.484
neutral,Movement,Movement,left,2.5,left,0.416
neutral,Movement,Movement,left,2.5,left,0.397
neutral,Movement,Movement,right,2.5,right,0.484
neutral,Movement,Movement,left,2.5,left,0.517
neutral,Movement,Movement,right,2.5,right,0.501
neutral,Movement,Movement,right,2.5,right,0.484
neutral,Movement,Movement,right,2.5,right,0.434
neutral,Movement,Movement,right,2.5,right,0.4
conflict,Sound,Movement,right,2.5,right,0.976
conflict,Sound,Movement,right,2.5,right,0.671
congruent,Sound,Movement,right,2.5,right,0.518
conflict,Sound,Movement,left,2.5,left,0.737
congruent,Sound,Movement,left,2.5,left,0.668
congruent,Sound,Movement,right,2.5,right,0.519
conflict,Sound,Movement,right,2.5,left,0.536
congruent,Sound,Movement,right,2.5,right,0.685
conflict,Sound,Movement,right,2.5,right,0.739
congruent,Sound,Movement,right,2.5,right,0.69
conflict,Movement,Sound,right,2.5,right,1.012
conflict,Movement,Sound,right,2.5,right,0.482
congruent,Movement,Sound,right,2.5,right,0.55
conflict,Movement,Sound,right,2.5,right,0.587
congruent,Movement,Sound,right,2.5,right,0.62
congruent,Movement,Sound,right,2.5,right,0.587
conflict,Movement,Sound,right,2.5,right,0.531
congruent,Movement,Sound,left,2.5,left,0.467
conflict,Movement,Sound,right,2.5,right,0.397
congruent,Movement,Sound,left,2.5,left,0.465
congruent,Sound,Movement,left,2.5,left,0.959
conflict,Sound,Movement,right,2.5,left,0.533
congruent,Sound,Movement,right,2.5,right,0.703
conflict,Movement,Sound,right,2.5,right,0.735
congruent,Movement,Sound,right,2.5,right,0.65
congruent,Sound,Movement,right,2.5,right,0.875
conflict,Sound,Movement,left,2.5,left,0.787
congruent,Sound,Movement,left,2.5,left,0.724
conflict,Sound,Movement,left,2.5,left,0.774
conflict,Sound,Movement,left,2.5,left,0.771
conflict,Sound,Movement,right,2.5,right,0.77
conflict,Movement,Sound,left,2.5,left,1.009
congruent,Movement,Sound,right,2.5,right,0.551
congruent,Movement,Sound,left,2.5,left,0.518
conflict,Movement,Sound,right,2.5,right,0.55
congruent,Sound,Movement,left,2.5,left,0.894
conflict,Movement,Sound,left,2.5,left,1.551
congruent,Movement,Sound,right,2.5,right,0.632
congruent,Movement,Sound,right,2.5,right,0.718
conflict,Movement,Sound,left,2.5,left,0.824
neutral,Direction,Direction,left,2.5,left,1.22
neutral,Direction,Direction,left,2.5,left,0.635
neutral,Direction,Direction,right,2.5,right,0.485
neutral,Direction,Direction,right,2.5,right,0.535
neutral,Direction,Direction,left,2.5,left,0.502
neutral,Direction,Direction,right,2.5,right,0.553
neutral,Direction,Direction,right,2.5,right,0.654
neutral,Direction,Direction,left,2.5,left,0.517
neutral,Direction,Direction,left,2.5,left,1.453
neutral,Direction,Direction,right,2.5,right,0.654
neutral,Sound,Sound,left,2.5,left,0.807
neutral,Sound,Sound,left,2.5,left,0.753
neutral,Sound,Sound,right,2.5,right,0.837
neutral,Sound,Sound,left,2.5,left,0.806
neutral,Sound,Sound,left,2.5,left,0.785
neutral,Sound,Sound,right,2.5,right,0.805
neutral,Sound,Sound,left,2.5,left,0.842
neutral,Sound,Sound,right,2.5,right,0.839
neutral,Sound,Sound,right,2.5,right,0.72
neutral,Sound,Sound,right,2.5,right,0.906
conflict,Direction,Sound,right,2.5,right,0.552
congruent,Direction,Sound,left,2.5,left,0.569
conflict,Direction,Sound,left,2.5,left,0.704
congruent,Direction,Sound,right,2.5,right,0.62
conflict,Direction,Sound,left,2.5,left,0.653
congruent,Direction,Sound,right,2.5,right,0.399
congruent,Direction,Sound,right,2.5,right,0.568
conflict,Direction,Sound,right,2.5,right,0.429
conflict,Direction,Sound,left,2.5,left,0.398
congruent,Direction,Sound,left,2.5,right,0.333
conflict,Sound,Direction,right,2.5,right,1.011
congruent,Sound,Direction,right,2.5,right,0.753
conflict,Sound,Direction,left,2.5,left,0.84
congruent,Sound,Direction,left,2.5,left,0.789
conflict,Sound,Direction,left,2.5,left,0.805
congruent,Sound,Direction,left,2.5,left,0.825
congruent,Sound,Direction,left,2.5,left,0.79
conflict,Sound,Direction,right,2.5,right,0.943
conflict,Sound,Direction,right,2.5,right,0.806
congruent,Sound,Direction,right,2.5,right,0.805
congruent,Sound,Direction,right,2.5,right,0.72
conflict,Direction,Sound,left,2.5,left,0.874
