polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,1.239
neutral,Movement,Movement,right,2.5,right,0.875
neutral,Movement,Movement,right,2.5,right,0.977
neutral,Movement,Movement,left,2.5,left,0.687
neutral,Movement,Movement,left,2.5,left,0.688
neutral,Movement,Movement,left,2.5,left,0.913
neutral,Movement,Movement,left,2.5,left,0.741
neutral,Movement,Movement,left,2.5,left,0.619
neutral,Movement,Movement,left,2.5,left,0.826
neutral,Movement,Movement,right,2.5,right,0.688
neutral,Direction,Direction,left,2.5,left,1.114
neutral,Direction,Direction,right,2.5,right,0.994
neutral,Direction,Direction,right,2.5,right,0.656
neutral,Direction,Direction,left,2.5,left,0.569
neutral,Direction,Direction,left,2.5,left,0.486
neutral,Direction,Direction,right,2.5,right,0.453
neutral,Direction,Direction,right,2.5,right,1.357
neutral,Direction,Direction,left,2.5,left,0.706
neutral,Direction,Direction,left,2.5,left,0.639
neutral,Direction,Direction,left,2.5,left,0.657
congruent,Movement,Direction,right,2.5,right,0.812
congruent,Movement,Direction,left,2.5,left,0.809
conflict,Movement,Direction,right,2.5,left,2.067
conflict,Movement,Direction,left,2.5,left,1.474
conflict,Movement,Direction,right,2.5,right,1.032
conflict,Movement,Direction,right,2.5,right,1.422
congruent,Movement,Direction,left,2.5,left,0.93
congruent,Movement,Direction,left,2.5,left,1.168
conflict,Movement,Direction,right,2.5,right,1.009
congruent,Movement,Direction,right,2.5,left,1.079
congruent,Direction,Movement,right,2.5,none,2.5
congruent,Direction,Movement,left,2.5,left,0.822
conflict,Direction,Movement,right,2.5,right,0.5
conflict,Direction,Movement,right,2.5,right,0.655
conflict,Direction,Movement,left,2.5,left,0.571
conflict,Direction,Movement,right,2.5,right,0.602
congruent,Direction,Movement,left,2.5,left,0.723
congruent,Direction,Movement,left,2.5,left,0.587
conflict,Direction,Movement,left,2.5,left,0.538
congruent,Direction,Movement,right,2.5,right,0.468
conflict,Direction,Movement,left,2.5,left,1.149
conflict,Direction,Movement,right,2.5,right,0.537
congruent,Movement,Direction,right,2.5,right,1.454
