polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,0.744
neutral,Movement,Movement,right,2.5,right,0.521
neutral,Movement,Movement,left,2.5,left,0.434
neutral,Movement,Movement,left,2.5,left,0.585
neutral,Movement,Movement,left,2.5,left,0.517
neutral,Movement,Movement,right,2.5,right,0.552
neutral,Movement,Movement,right,2.5,right,0.927
neutral,Movement,Movement,left,2.5,left,1.744
neutral,Movement,Movement,right,2.5,right,0.502
neutral,Movement,Movement,right,2.5,right,0.637
neutral,Direction,Direction,left,2.5,none,2.5
neutral,Direction,Direction,right,2.5,left,0.112
neutral,Direction,Direction,left,2.5,left,1.116
neutral,Direction,Direction,left,2.5,left,0.808
neutral,Direction,Direction,right,2.5,right,0.504
neutral,Direction,Direction,left,2.5,left,0.57
neutral,Direction,Direction,right,2.5,right,0.586
neutral,Direction,Direction,right,2.5,right,0.452
neutral,Direction,Direction,right,2.5,right,0.484
neutral,Direction,Direction,left,2.5,left,0.501
congruent,Movement,Direction,right,2.5,right,0.791
conflict,Movement,Direction,left,2.5,left,1.234
conflict,Movement,Direction,left,2.5,left,0.605
congruent,Movement,Direction,left,2.5,left,0.944
congruent,Movement,Direction,left,2.5,left,0.467
conflict,Movement,Direction,right,2.5,right,0.69
conflict,Movement,Direction,right,2.5,right,0.468
conflict,Movement,Direction,left,2.5,left,0.757
congruent,Movement,Direction,right,2.5,right,0.57
congruent,Movement,Direction,right,2.5,right,0.467
congruent,Direction,Movement,right,2.5,right,0.54
conflict,Direction,Movement,left,2.5,left,0.418
conflict,Direction,Movement,right,2.5,right,0.452
congruent,Direction,Movement,right,2.5,right,0.468
congruent,Direction,Movement,right,2.5,right,0.452
conflict,Direction,Movement,right,2.5,right,0.452
conflict,Direction,Movement,left,2.5,left,0.502
conflict,Direction,Movement,right,2.5,right,0.42
congruent,Direction,Movement,left,2.5,left,0.401
congruent,Direction,Movement,right,2.5,right,0.417
congruent,Direction,Movement,right,2.5,right,0.554
congruent,Movement,Direction,right,2.5,right,0.622
conflict,Movement,Direction,left,2.5,left,1.013
congruent,Direction,Movement,left,2.5,right,1.232
conflict,Direction,Movement,right,2.5,right,0.794
conflict,Movement,Direction,right,2.5,left,0.743
congruent,Direction,Movement,left,2.5,left,0.907
congruent,Movement,Direction,left,2.5,left,0.946
conflict,Direction,Movement,right,2.5,right,1.082
conflict,Movement,Direction,right,2.5,right,1.385
congruent,Direction,Movement,left,2.5,left,1.318
congruent,Movement,Direction,right,2.5,right,1.385
congruent,Direction,Movement,right,2.5,right,1.251
conflict,Movement,Direction,right,2.5,right,0.945
conflict,Movement,Direction,right,2.5,right,1.236
conflict,Direction,Movement,left,2.5,left,0.684
congruent,Movement,Direction,right,2.5,right,0.672
congruent,Movement,Direction,right,2.5,right,1.133
conflict,Direction,Movement,right,2.5,right,0.69
conflict,Direction,Movement,right,2.5,right,0.604
neutral,Sound,Sound,left,2.5,left,1.221
neutral,Sound,Sound,left,2.5,left,0.858
neutral,Sound,Sound,left,2.5,left,0.582
neutral,Sound,Sound,left,2.5,left,0.616
neutral,Sound,Sound,left,2.5,left,0.585
neutral,Sound,Sound,right,2.5,right,0.705
neutral,Sound,Sound,left,2.5,left,0.755
neutral,Sound,Sound,left,2.5,left,0.667
neutral,Sound,Sound,left,2.5,left,0.634
neutral,Sound,Sound,right,2.5,right,0.617
neutral,Movement,Movement,left,2.5,left,0.57
neutral,Movement,Movement,left,2.5,left,0.624
neutral,Movement,Movement,left,2.5,left,0.501
neutral,Movement,Movement,left,2.5,left,0.433
neutral,Movement,Movement,right,2.5,right,0.519
neutral,Movement,Movement,left,2.5,left,0.381
neutral,Movement,Movement,left,2.5,left,0.691
neutral,Movement,Movement,right,2.5,right,0.483
neutral,Movement,Movement,right,2.5,right,0.774
neutral,Movement,Movement,left,2.5,left,0.435
congruent,Sound,Movement,left,2.5,left,0.687
conflict,Sound,Movement,left,2.5,left,1.113
conflict,Sound,Movement,left,2.5,left,0.757
congruent,Sound,Movement,left,2.5,left,0.599
congruent,Sound,Movement,left,2.5,left,0.565
congruent,Sound,Movement,right,2.5,right,0.498
conflict,Sound,Movement,right,2.5,left,0.514
conflict,Sound,Movement,left,2.5,left,1.725
conflict,Sound,Movement,right,2.5,right,1.025
congruent,Sound,Movement,right,2.5,right,0.668
congruent,Movement,Sound,left,2.5,left,1.195
conflict,Movement,Sound,left,2.5,left,2.216
conflict,Movement,Sound,left,2.5,left,0.519
congruent,Movement,Sound,right,2.5,right,0.724
congruent,Movement,Sound,left,2.5,left,0.771
congruent,Movement,Sound,right,2.5,right,0.584
conflict,Movement,Sound,right,2.5,right,0.974
conflict,Movement,Sound,left,2.5,left,0.551
conflict,Movement,Sound,left,2.5,left,0.636
congruent,Movement,Sound,left,2.5,left,0.633
conflict,Sound,Movement,right,2.5,left,2.05
congruent,Movement,Sound,left,2.5,left,2.05
congruent,Sound,Movement,left,2.5,left,0.924
congruent,Sound,Movement,left,2.5,left,0.723
conflict,Movement,Sound,left,2.5,left,1.469
conflict,Movement,Sound,left,2.5,left,0.808
congruent,Sound,Movement,left,2.5,left,0.854
conflict,Movement,Sound,right,2.5,left,0.718
congruent,Movement,Sound,left,2.5,left,0.552
conflict,Sound,Movement,left,2.5,left,0.872
conflict,Movement,Sound,left,2.5,right,1.01
congruent,Movement,Sound,right,2.5,right,1.182
congruent,Sound,Movement,right,2.5,right,0.94
