polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,0.92
neutral,Movement,Movement,right,2.5,right,0.672
neutral,Movement,Movement,left,2.5,left,0.707
neutral,Movement,Movement,left,2.5,left,0.688
neutral,Movement,Movement,right,2.5,right,0.604
neutral,Movement,Movement,left,2.5,left,0.642
neutral,Movement,Movement,right,2.5,right,0.502
neutral,Movement,Movement,right,2.5,right,0.487
neutral,Movement,Movement,right,2.5,left,0.433
neutral,Movement,Movement,left,2.5,left,0.823
neutral,Direction,Direction,left,2.5,left,0.574
neutral,Direction,Direction,right,2.5,right,0.552
neutral,Direction,Direction,left,2.5,left,0.52
neutral,Direction,Direction,left,2.5,left,1.744
neutral,Direction,Direction,right,2.5,right,0.588
neutral,Direction,Direction,left,2.5,left,0.483
neutral,Direction,Direction,right,2.5,right,0.485
neutral,Direction,Direction,right,2.5,right,0.586
neutral,Direction,Direction,left,2.5,left,0.485
neutral,Direction,Direction,right,2.5,right,0.55
congruent,Movement,Direction,left,2.5,left,0.636
conflict,Movement,Direction,right,2.5,left,0.673
conflict,Movement,Direction,right,2.5,right,1.117
conflict,Movement,Direction,left,2.5,left,1.013
congruent,Movement,Direction,right,2.5,left,0.791
conflict,Movement,Direction,right,2.5,right,0.994
congruent,Movement,Direction,right,2.5,right,0.741
congruent,Movement,Direction,left,2.5,left,0.877
conflict,Movement,Direction,right,2.5,right,0.776
congruent,Movement,Direction,right,2.5,right,0.675
congruent,Direction,Movement,left,2.5,left,0.864
conflict,Direction,Movement,right,2.5,right,0.553
conflict,Direction,Movement,left,2.5,left,0.536
conflict,Direction,Movement,right,2.5,right,0.707
congruent,Direction,Movement,right,2.5,right,0.672
conflict,Direction,Movement,right,2.5,right,0.553
congruent,Direction,Movement,right,2.5,right,0.673
congruent,Direction,Movement,left,2.5,left,0.604
conflict,Direction,Movement,right,2.5,right,0.62
congruent,Direction,Movement,left,2.5,left,0.537
congruent,Direction,Movement,left,2.5,none,2.5
congruent,Movement,Direction,left,2.5,left,0.0
congruent,Movement,Direction,left,2.5,left,1.404
congruent,Movement,Direction,left,2.5,left,1.339
conflict,Direction,Movement,right,2.5,right,1.339
congruent,Direction,Movement,left,2.5,left,1.998
congruent,Direction,Movement,right,2.5,right,0.928
congruent,Direction,Movement,left,2.5,left,0.535
