polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,right,2.5,right,0.771
neutral,Movement,Movement,left,2.5,left,0.587
neutral,Movement,Movement,right,2.5,right,0.451
neutral,Movement,Movement,right,2.5,right,0.637
neutral,Movement,Movement,right,2.5,right,0.468
neutral,Movement,Movement,right,2.5,right,0.555
neutral,Movement,Movement,right,2.5,right,0.385
neutral,Movement,Movement,left,2.5,left,0.569
neutral,Movement,Movement,left,2.5,left,0.418
neutral,Movement,Movement,left,2.5,left,0.589
neutral,Direction,Direction,right,2.5,right,0.397
neutral,Direction,Direction,left,2.5,left,0.433
neutral,Direction,Direction,left,2.5,left,0.518
neutral,Direction,Direction,right,2.5,right,0.506
neutral,Direction,Direction,right,2.5,right,0.536
neutral,Direction,Direction,right,2.5,right,0.467
neutral,Direction,Direction,right,2.5,right,0.5
neutral,Direction,Direction,left,2.5,left,0.535
neutral,Direction,Direction,left,2.5,left,0.62
neutral,Direction,Direction,right,2.5,right,0.433
congruent,Movement,Direction,right,2.5,right,0.929
conflict,Movement,Direction,right,2.5,right,0.944
conflict,Movement,Direction,right,2.5,right,0.571
congruent,Movement,Direction,left,2.5,right,0.637
congruent,Movement,Direction,right,2.5,right,0.842
congruent,Movement,Direction,left,2.5,left,0.62
conflict,Movement,Direction,left,2.5,left,0.639
congruent,Movement,Direction,right,2.5,right,0.62
conflict,Movement,Direction,right,2.5,right,0.656
conflict,Movement,Direction,left,2.5,left,0.808
congruent,Direction,Movement,left,2.5,left,0.592
conflict,Direction,Movement,right,2.5,right,0.383
conflict,Direction,Movement,left,2.5,left,0.418
congruent,Direction,Movement,right,2.5,right,0.333
congruent,Direction,Movement,right,2.5,right,0.382
congruent,Direction,Movement,right,2.5,right,0.502
conflict,Direction,Movement,right,2.5,right,0.331
congruent,Direction,Movement,right,2.5,right,0.366
conflict,Direction,Movement,right,2.5,right,0.349
conflict,Direction,Movement,right,2.5,right,0.349
conflict,Direction,Movement,right,2.5,right,0.624
congruent,Movement,Direction,left,2.5,left,0.879
congruent,Movement,Direction,left,2.5,left,0.552
conflict,Movement,Direction,left,2.5,left,0.655
congruent,Direction,Movement,right,2.5,right,0.47
conflict,Movement,Direction,right,2.5,right,1.201
congruent,Movement,Direction,right,2.5,right,0.673
conflict,Direction,Movement,right,2.5,right,0.775
conflict,Movement,Direction,left,2.5,left,0.943
conflict,Direction,Movement,right,2.5,right,0.758
congruent,Direction,Movement,right,2.5,right,0.367
congruent,Direction,Movement,left,2.5,left,1.047
congruent,Movement,Direction,left,2.5,left,0.519
conflict,Movement,Direction,left,2.5,left,0.997
conflict,Direction,Movement,left,2.5,left,0.742
congruent,Direction,Movement,left,2.5,left,0.551
congruent,Direction,Movement,left,2.5,left,0.519
conflict,Movement,Direction,left,2.5,left,0.689
conflict,Direction,Movement,left,2.5,left,0.673
congruent,Movement,Direction,right,2.5,right,1.15
neutral,Sound,Sound,right,2.5,right,0.633
neutral,Sound,Sound,left,2.5,left,0.655
neutral,Sound,Sound,left,2.5,left,0.655
neutral,Sound,Sound,left,2.5,left,0.621
neutral,Sound,Sound,right,2.5,right,0.685
neutral,Sound,Sound,right,2.5,right,0.64
neutral,Sound,Sound,right,2.5,right,0.584
neutral,Sound,Sound,right,2.5,right,0.62
neutral,Sound,Sound,right,2.5,right,0.6
neutral,Sound,Sound,left,2.5,left,0.689
neutral,Movement,Movement,left,2.5,left,0.736
neutral,Movement,Movement,left,2.5,left,0.485
neutral,Movement,Movement,right,2.5,right,0.47
neutral,Movement,Movement,left,2.5,left,0.503
neutral,Movement,Movement,right,2.5,right,0.45
neutral,Movement,Movement,left,2.5,left,0.43
neutral,Movement,Movement,left,2.5,left,0.571
neutral,Movement,Movement,right,2.5,right,0.365
neutral,Movement,Movement,right,2.5,right,0.416
neutral,Movement,Movement,right,2.5,right,0.468
conflict,Sound,Movement,left,2.5,left,1.061
congruent,Sound,Movement,left,2.5,left,0.65
congruent,Sound,Movement,left,2.5,left,0.619
congruent,Sound,Movement,right,2.5,right,0.769
conflict,Sound,Movement,left,2.5,left,1.03
conflict,Sound,Movement,right,2.5,right,0.808
conflict,Sound,Movement,left,2.5,left,0.754
conflict,Sound,Movement,left,2.5,left,0.722
congruent,Sound,Movement,left,2.5,left,0.602
congruent,Sound,Movement,right,2.5,right,0.672
conflict,Movement,Sound,right,2.5,right,0.938
congruent,Movement,Sound,right,2.5,right,0.518
congruent,Movement,Sound,right,2.5,right,0.431
congruent,Movement,Sound,right,2.5,right,0.417
