polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,right,2.5,right,0.787
neutral,Movement,Movement,right,2.5,right,0.704
neutral,Movement,Movement,right,2.5,right,0.807
neutral,Movement,Movement,right,2.5,right,0.518
neutral,Movement,Movement,left,2.5,left,0.638
neutral,Movement,Movement,left,2.5,left,0.86
neutral,Movement,Movement,left,2.5,left,0.809
neutral,Movement,Movement,left,2.5,left,0.551
neutral,Movement,Movement,right,2.5,right,0.484
neutral,Movement,Movement,left,2.5,left,0.637
neutral,Direction,Direction,left,2.5,left,0.964
neutral,Direction,Direction,left,2.5,left,0.639
neutral,Direction,Direction,right,2.5,right,0.708
neutral,Direction,Direction,right,2.5,right,0.554
neutral,Direction,Direction,left,2.5,left,0.519
neutral,Direction,Direction,left,2.5,left,0.705
neutral,Direction,Direction,left,2.5,left,0.756
neutral,Direction,Direction,right,2.5,right,0.602
neutral,Direction,Direction,left,2.5,left,0.57
neutral,Direction,Direction,right,2.5,right,0.568
congruent,Movement,Direction,left,2.5,left,0.842
conflict,Movement,Direction,right,2.5,left,0.638
conflict,Movement,Direction,right,2.5,right,0.877
congruent,Movement,Direction,right,2.5,right,1.065
conflict,Movement,Direction,left,2.5,left,0.757
conflict,Movement,Direction,right,2.5,right,0.981
congruent,Movement,Direction,right,2.5,right,0.707
conflict,Movement,Direction,left,2.5,left,0.737
congruent,Movement,Direction,left,2.5,left,0.824
congruent,Movement,Direction,left,2.5,left,0.844
congruent,Direction,Movement,right,2.5,right,0.624
conflict,Direction,Movement,right,2.5,right,0.47
conflict,Direction,Movement,left,2.5,left,0.602
congruent,Direction,Movement,right,2.5,right,0.467
conflict,Direction,Movement,left,2.5,left,0.467
conflict,Direction,Movement,right,2.5,right,0.455
congruent,Direction,Movement,right,2.5,right,0.572
conflict,Direction,Movement,right,2.5,right,0.537
congruent,Direction,Movement,left,2.5,left,0.725
congruent,Direction,Movement,right,2.5,right,0.485
conflict,Direction,Movement,left,2.5,left,1.304
congruent,Movement,Direction,left,2.5,left,1.082
congruent,Movement,Direction,left,2.5,left,0.946
congruent,Direction,Movement,left,2.5,left,0.605
conflict,Direction,Movement,right,2.5,right,0.911
congruent,Direction,Movement,right,2.5,right,0.808
conflict,Movement,Direction,left,2.5,left,1.147
congruent,Direction,Movement,right,2.5,right,1.268
conflict,Movement,Direction,left,2.5,left,1.524
congruent,Direction,Movement,left,2.5,right,1.286
conflict,Direction,Movement,right,2.5,right,1.182
congruent,Direction,Movement,left,2.5,left,1.44
congruent,Movement,Direction,right,2.5,left,1.027
conflict,Movement,Direction,left,2.5,left,1.285
conflict,Movement,Direction,right,2.5,right,1.798
congruent,Movement,Direction,left,2.5,left,1.064
congruent,Movement,Direction,left,2.5,left,0.995
conflict,Direction,Movement,right,2.5,right,1.726
conflict,Movement,Direction,right,2.5,left,1.082
conflict,Direction,Movement,left,2.5,left,1.882
neutral,Sound,Sound,right,2.5,right,1.162
neutral,Sound,Sound,left,2.5,left,0.91
neutral,Sound,Sound,right,2.5,right,0.689
neutral,Sound,Sound,left,2.5,left,0.599
neutral,Sound,Sound,left,2.5,left,1.484
neutral,Sound,Sound,right,2.5,right,0.889
neutral,Sound,Sound,left,2.5,left,0.636
neutral,Sound,Sound,left,2.5,left,1.145
neutral,Sound,Sound,left,2.5,left,0.67
neutral,Sound,Sound,right,2.5,right,0.77
neutral,Movement,Movement,left,2.5,left,0.881
neutral,Movement,Movement,left,2.5,left,0.62
neutral,Movement,Movement,right,2.5,right,0.535
neutral,Movement,Movement,left,2.5,left,0.721
neutral,Movement,Movement,right,2.5,right,0.502
